veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat
1.06,0.3039014374,0,0,0,HBACK,3,F,C,2
1.03,0.6488706365,0,0,0,HBACK,2,F,A,4
3.26,0.5694729637,0,0,0,UTE,2,F,E,2
4.14,0.3175906913,0,0,0,STNWG,2,F,D,2
0.72,0.6488706365,0,0,0,HBACK,4,F,C,2
2.01,0.8542094456,0,0,0,HDTOP,3,M,C,4
1.6,0.8542094456,0,0,0,PANVN,3,M,A,4
1.47,0.5557837098,0,0,0,HBACK,2,M,B,6
0.52,0.3613963039,0,0,0,HBACK,4,F,A,3
0.38,0.5201916495,0,0,0,HBACK,4,F,B,4
1.38,0.8542094456,0,0,0,HBACK,2,M,A,2
1.22,0.8542094456,0,0,0,HBACK,3,M,C,4
1,0.4928131417,0,0,0,HBACK,2,F,C,4
7.04,0.3148528405,0,0,0,STNWG,1,M,A,5
1.66,0.4845995893,1,1,669.50999928,SEDAN,3,M,B,6
2.35,0.3915126626,0,0,0,SEDAN,2,M,C,4
1.51,0.9938398357,1,1,806.6099987,SEDAN,3,F,F,4
0.76,0.5393566051,1,1,401.80545139,HBACK,3,M,C,4
0.27,0.4517453799,0,0,0,HBACK,4,F,D,2
0.89,0.5941136208,0,0,0,HBACK,3,F,C,3
1.95,0.5941136208,0,0,0,HBACK,1,M,A,1
0.39,0.5366187543,0,0,0,SEDAN,4,M,C,5
3.86,0.5941136208,0,0,0,STNWG,2,F,B,2
1.37,0.59137577,0,0,0,HBACK,1,F,B,1
1.3,0.9993155373,0,0,0,HBACK,2,F,A,2
1.44,0.0301163587,0,0,0,HBACK,2,F,C,1
1.349,0.462696783,0,0,0,HBACK,1,F,C,5
1.39,0.3175906913,0,0,0,HBACK,3,F,C,2
1,0.2874743326,0,0,0,STNWG,4,M,C,3
1.51,0.0684462697,0,0,0,HBACK,2,F,C,2
4.45,0.5941136208,0,0,0,STNWG,1,F,C,3
2.17,0.5366187543,0,0,0,SEDAN,2,F,A,4
0.87,0.8542094456,0,0,0,HBACK,3,M,D,3
4.09,0.848733744,0,0,0,UTE,1,M,A,2
1.31,0.4052019165,0,0,0,HBACK,2,M,C,1
