subjectNo,participantID,"Condition
1= SMILE 0 = POUT","Task performed correctly? 
 1 = YES   0 = NO",,,,,Ratings,,,,,,Self-reported task performance," Comprehension of cartoons
1 = YES   0 = NO","Was the participant aware of the goal?
1= YES  0 = NO",Transcribe the written answer of each participant's guess  of the study's goal.,Age,"Gender
1 = Male   0 = Female","Student
1 = YES   0 = NO",Occupation / Field of study
,,,Cartoon1,Cartoon2,Cartoon3,Cartoon4,Total,Task1,Task2,Cartoon1,Cartoon2,Cartoon3,Cartoon4,,,,,,,,
1,1,0,1,1,1,1,4,2,2,3,1,7,5,7,1,0,Het doel is om te zien of mensen aan de hand van hun mond hun handen zouden kunnen vervangen. Zien hoe lang en goed ze dit zouden kunnen.,18,0,1,Psychologie
2,2,1,1,1,1,1,4,5,4,4,6,3,2,5,1,0,De concentratie van iemand tijdens het uitvoeren van een experiment waarin die moet dingen doen die die normaal niet doet,18,0,1,Sociologie
3,3,0,1,1,1,1,4,2,5,5,4,3,5,6,1,0,Verricht op het verbeteren van de mogelijkheid van het uitvoeren van polen van mindervalide,26,1,1,Psychologie
4,4,1,1,1,1,1,4,7,6,4,7,1,6,1,1,0,Aantonen dat het zeer ongemakkelijk is om handelingen uit te voeren met een anders lichaamsdeel dan normaal. En de schaamte die erbij komt kijken,18,0,1,Agogische wetenschappen
5,5,0,1,1,1,1,4,5,6,2,4,1,4,5,1,0,"Kijken welke handelingen onze mond kan met een stylo (of ander materiaal). Om zo iets te kunnen ontwikkelen waarmee mensen, die geen hand meer kunnen gebruiken, toch kunnen schrijven.",18,0,1,Psychologie
6,6,1,1,1,1,1,4,3,5,4,4,6,5,3,1,0,Zien of we met andere ledematen dingen kunnen doen die we normaal niet met deze ledematen doen,18,0,1,Psychologie
7,7,0,1,1,1,1,4,8,6,2,7,5,1,2,1,0,"Geen idee. Het testen van motorische vaardigheden met andere delen van het lichaam dan we gewoon zijn zou uitgebreider zijn, dus misschien zit er een ander doel achter.",19,0,1,Psychologie
8,8,1,1,1,1,1,4,8,5,3,7,5,2,2,1,0,Iets uitvinden waarmee mensen die geen armen hebben toch dagdagelijkse taken kunnen uitvoeren met hun mond. Op die manier zijn ze minder afhankelijk van anderen,18,0,1,Agogiek
9,9,0,1,1,1,1,4,7,6,3,8,5,7,6,1,0,"Het doel van dit onderzoek is volgens mij op mensen die een amputatie hebben, laten zien welke hersendelen ervoor zorgen hoe we alles kunnen doen met onze handen (armen). Diegene die dit niet meer hebben, moeten een ander alternatief zoeken (bv: de mond). ",18,0,1,Psychologie
10,10,1,1,1,1,1,4,6,5,6,4,5,6,6,1,0,"Men wil nieuwe technieken vinden om mensen met een fysieke handicap toch te laten communiceren, de mogelijkheid geven om motorische activiteiten te kunnen laten doen. Via technieken hun handicap deels weg te nemen",20,0,1,Sociologie
11,11,0,1,1,1,1,4,6,5,4,4,3,2,4,1,0,Nagaan hoe goed mensen zonder beperkingen kunnen werken met lichaamsdelen die ze normaal niet gebruiken bij bepaalde taken,18,0,1,Psychologie
12,12,1,1,1,1,1,4,6,1,5,7,3,6,3,1,0,"Ik denk dat het doel is om trachten te begrijpen hoe moeilijk een handeling te doen is met een 'andere' manier van doen. Dus het niet gebruikelijk doen. Zoals het tekenen met de mond, hand etc.",18,0,1,Psychologie
13,13,0,1,1,1,1,4,7,6,7,4,4,5,3,0,0,"Aantonen dat we bepaalde lichaamsdelen voor meerdere functies kunnen gebruiken om zo mensen met een handicap (die een bepaald lichaamsdeel niet kunnen gebruiken) te helpen, zodat ze een alternatief hebben en even goed kunnen blijven functioneren en hun zal in de maatschappij niet verzwakt",18,0,1,Psychologie
14,14,1,1,1,1,1,4,8,6,2,5,7,8,3,1,0,Het doel is te onderzoeken in welke mate men capabel zou zijn functies uit te voeren met hum mond die we normalerwijze met onze handen zouden uit voeren. Op deze manier kunnen we bij voorbeeld mensen met een handicap aan hun handen de mogelijkheid bieden taken op alternatieve manieren uit te voelen,18,0,1,Psychologie
15,15,0,1,1,1,1,4,7,7,2,2,3,3,5,0,0,Het onderzoeken naar hoe moeilijk/makkelijk het voor een persoon is om te functioneren als een persoon met een beperking. Bij de cartoon het onderzoek doen naar de concentratie bij het doen van deze oefening,19,0,1,Psychologie
16,16,1,1,1,1,1,4,8,6,0,0,1,2,2,0,0,Concentratie testen. Vermogen om outside the box te denken (handelen). De welwilligheid van studenten testen bij het correct uitvoeren van een taak,22,0,1,Sociologie
17,17,0,1,1,1,1,4,7,3,0,1,4,6,2,1,0,Kijken in hoe ver iemand in staat is om de pen op de juiste manier in zijn mond te houden gedurende het hele experiment en zien of die niet vals speelt,18,0,1,Psychologie
18,18,1,1,1,0,1,3,8,3,5,1,1,7,3,0,0,"Twee taken tegelijk uitmoeten, BVB: denken en pen in correcte houding",18,1,1,Psychologie
19,19,0,1,1,1,1,4,6,7,1,2,1,3,2,0,0,"Hoe goed, of hoe nauwkeurig mensen nog over simpele dingen zoals klinkers onderlijnen of cartoons begrijpen kunnen nadenken terwijl ze hun pen niet normaal vast hebben, maar in hun mond.  ",18,0,1,Psychologie
20,20,1,1,1,1,1,4,6,5,3,3,3,5,5,1,0,Om mensen die verlamd zijn op geraken zo te helpen in het dagelijkse leven. Door middel van nieuwe technieken kunnen ze onafhankelijker zijn,17,0,1,Psychologie
21,21,0,1,1,1,1,4,5,2,1,6,2,3,4,0,0,"Ik denk dat het doel van dit onderzoek is om te weten te komen hoe mensen die, verlamd zijn of mensen die problemen hebben met hun hersenen om te praten, hoe ze zouden kunnen communiceren",18,0,1,Psychologie
22,22,1,1,1,1,1,4,8,8,5,2,5,6,2,1,0,Onderzoeken hoe onze hersenen werken tijdens het doen van andere dingen die we in het dagelijkse leven niet gewoon zijn om te doen,17,0,1,Psychologie
23,23,0,1,1,1,1,4,6,6,5,9,9,7,6,1,0,Om te zien hoe mensen zonder fysieke handicap iets niet kunnen doen en hoe mensen met een fysieke handicap hun vermogen om dingen op een ander manier te doen hebben ontwikkeld. Zoals Christy Brown en zijn linkervoet,19,0,1,Psychologie
24,24,1,1,1,1,1,4,6,7,4,6,0,1,4,1,0,Om te zien hoe geconcentreerd mensen kunnen blijven wanneer ze zich ook moeten focussen op het schrijven met hun mond ,18,0,1,Psychologie
25,25,0,1,1,1,1,4,6,5,8,6,2,8,6,1,0,Het is een onderzoek naar hoe goed en hoe we handelingen kunnen uitvoeren met andere lichaamsdelen dan normaal. Het onderzoekt op welke manier we dit doen. Ik denk ook dat het is om nieuwe instrumenten te ontwikkelen voor motorisch gehandicapten. Door dit onderzoek kunnen ze zien hoe ons lichaam op deze onbehende activiteiten reageert.,18,0,1,Agogische wetenschappen
26,26,1,1,1,1,1,4,7,3,7,6,5,5,4,0,1,1; Hoe goed je met lichaamsdelen die je normaal niet gebruikt voor bepaalde functies werken voor wanneer je ze toch doet. 2. Je emoties bekijken wanneer je al een soort van geforceerde lach moet aanhouden,18,0,1,Psychologie
27,27,0,1,1,1,1,4,7,6,7,6,7,7,4,1,0,Een technologie ontwikkelen om mensen met een fysieke handicap te helpen taken uit te voeren op een andere manier dan gezonde mensen. Door dit onderzoek zal men te weten komen op welke manier mensen dit kunnen. ,17,0,1,Psychologie
28,28,1,1,1,1,1,4,9,4,5,8,7,8,2,1,0,"Dat tekenen/schrijven ook mogelijk is met je mond, al lukt het bij mensen die hun handen wel kunnen gebruiken niet goed tot slecht, maar dat als je het zou oefenen wel zou kunnen",18,1,1,Psychologie
29,29,0,1,1,0,1,3,5,1,5,7,3,9,4,1,0,Een onderzoek naar motoriek bij lichaamsdelen dat niet zo van zelf sprekend is bv schrijven met de mond,18,0,1,Psychologie
30,30,1,1,1,1,1,4,5,4,8,4,4,8,4,1,,De soort humor bepaalt (laat zien) welke hersengebied het meeste actief is,17,0,1,Psychologie
31,31,0,1,1,1,1,4,4,4,6,6,7,2,2,1,0,Om te weten te komen hoe mensen lichaamsdelen anders gaan gebruiken wanneer ze sommige lichaamsdelen moeilijk of niet kunnen gebruiken,18,0,1,Psychologie
32,32,1,1,1,1,1,4,8,4,2,7,2,7,3,1,0,Proberen te achterhalen hoe mensen reageren als ze onbewuste taken plots niet normaal kunnen uitvoeren.,18,0,1,Psychologie
33,33,0,0,0,0,0,0,8,8,0,7,0,4,3,0,0,Op zoek gaan naar goedkopere middelen voor mensen met een motorische handicap. Deze middelen moeten zo functioneel mogelijk zijn dus testen we hier 'hoe' ze zo functioneel mogelijk gemaakt kunnen worden.,18,0,1,Psychologie
34,34,1,1,1,1,1,4,8,3,0,4,0,5,5,0,0,Geen idee ,19,0,1,Psychologie
35,35,0,1,1,1,1,4,8,6,3,6,1,1,4,1,0,Het doel is om te onderzoeken hoe lang een proefpersoon de pen stevig in de mond kan houden om het nog op een fatsoenlijke manier te kunnen gebruiken,19,1,1,Psychologie
36,36,1,1,1,1,1,4,6,7,8,6,6,7,2,1,0,Ik denk dat het doel is om een goed alternatief te zoeken om dingen te doen voor mensen met een beperking. Dus om bijvoorbeeld een manier te vinden om te kunnen schrijven als je je handen niet kan gebruiken.,18,0,1,Psychologie
37,37,0,1,1,1,1,4,7,6,7,1,3,6,5,1,0,Ik denk dat ze willen te weten komen hoe mensen met een handicap werken met bv. de mond en  dit vergelijken met hoe mensen zonder handicap zo iets kunnen doen aangezien ze dat nooit geleerd hebben. Hun hersenen werken misschien anders dan mensen die dat zo goed kunnen. Ze willen misschien te weten komen welke impulsen in de hersenen vrijkomen en hoe snel zo iets aangeleerd kan worden bij mensen zonder handicap. Misschien willen ze daarop betere hulpmiddelen ontwikkelen voor de mensen met handicap,19,0,1,Psychologie
38,38,1,1,1,1,1,4,4,5,3,5,2,4,6,1,0,Concentratie gepaard met een handicap dat je niet gewoon bent,19,0,1,Psychologie
39,39,0,1,1,1,1,4,4,7,0,2,1,8,7,1,0,Een nieuwe manier vinden om mensen met een beperking (bv. Geen armen) een kans te geven om met hun mond taken uit te voeren die wij met de hand kunnen,18,0,1,Psychologie
40,40,1,1,1,1,1,4,9,6,2,7,1,6,3,1,0,Het verschil tussen de psychomotorische ontwikkeling voor wat iemand zonder handicap kan doen met andere lichaamsdelen dan gewoonlijk en iemand met een handicap die dit dagelijks moet doen ,18,0,1,Psychologie
41,41,0,1,1,1,1,4,6,4,7,4,5,7,6,1,0,Het ontwikkelen van nieuwe technieken voor hulpmiddelen voor personen met een motorische beperking,18,0,1,Agogische wetenschappen
42,42,1,1,1,1,1,4,8,7,4,2,3,4,4,1,0,Nieuwe technologieën uitvinden voor mensen met een handicap. Bepaalde machientjes  zodat het voor hen gemakkelijker is om te kunnen schrijven.,17,0,1,Psychologie
43,43,0,1,1,1,1,4,5,6,3,3,5,6,6,1,0,Ik denk dat het doel van het onderzoek is om te kijken in hoeverre je gecoördineerde taken uit kan voeren met lichaamsdelen waarmee je dat niet gewend bent. Om dit toe te passen op mensen die bij voorbeeld handicaps hebben. Zijn er taken die net zo goed uitgevoerd kunnen worden met niet-conventionele lichaamsdelen? Dit kan vervolgens toegepast worden op nieuwe technologieën.  ,25,0,1,Psychologie
44,44,1,1,1,1,1,4,3,3,6,7,4,7,8,1,0,"Kijken of de oefstand die je moet handen met de beuregingen van en naar het papier niet te belasten zijn en of het fysieke mogelijk is om de pen enkel tussen de tanden te houden zonder lippen te voeken naar langere tijd mogelijk is. Pijn, speeksel en grip op de pen ",36,0,1,Psychologie
45,45,0,1,1,1,1,4,2,3,2,6,0,1,6,1,0,Om te zien of personen zonder handicap in staat zijn de taken uit te voeren op een manier als personen met een handicap.,20,1,1,Psychologie
46,46,1,1,1,1,1,4,6,7,4,5,6,4,3,1,0,Testen welke manieren mogelijk zijn voor mensen met een fysieke handicap om zo normaal mogelijk taken uit te voeren op andere manieren dan mensen zonder handicap dit kunnen,18,0,1,Psychologie
47,47,0,1,1,1,1,4,6,8,4,7,3,5,6,1,0,Nagaan of het al dan niet geamuseerd zijn invloed heeft op het vasthouden van de pen,18,1,1,Psychologie
48,48,1,1,1,1,1,4,7,6,1,1,1,1,3,1,0,Testen of je je kan focussen op zowel de pen op de juiste manier in je mond te houden als opdrachten voltooien -> meerdere handelingen die je niet gewoon bent tegelijk,19,0,1,Psychologie
49,49,0,1,1,1,1,4,1,2,1,1,1,1,7,0,0,Een lichaamsdeel trainen hoe het bedrag,18,0,1,Agogiek 
50,50,1,1,1,1,1,4,7,7,8,3,2,3,5,0,0,"Observeren op welke manier mensen die niet in staat zijn te werken met hun handen, wel zouden kunnen schrijven in dergelijke",18,0,1,Agogische wetenschappen
