subjectNo,participantID,"Condition
1= SMILE 0 = POUT","Task performed correctly? 
 1 = YES   0 = NO",,,,,Ratings,,,,,,Self-reported task performance," Comprehension of cartoons
1 = YES   0 = NO","Was the participant aware of the goal?
1= YES  0 = NO",Transcribe the written answer of each participant's guess  of the study's goal.,Age,"Gender
1 = Male   0 = Female","Student
1 = YES   0 = NO",Occupation / Field of study
,,,Cartoon1,Cartoon2,Cartoon3,Cartoon4,Total,Task1,Task2,Cartoon1,Cartoon2,Cartoon3,Cartoon4,,,,,,,,
1,1,0,1,1,1,1,4,5,9,5,8,3,6,5,1,0,Purpose is to see how difficult it could be for someone without the same ability as everyone else to write or draw using no hands.,21,1,1,Environmental Studies
2,2,1,1,1,1,1,4,3,4,0,9,6,6,7,1,0,"how people thinking can influence excess saliva. when people pay attention with something with holding a pen in mouth can cause excess saliva, as the experiment going, when I connect the dots, that do not require focus, so the excess saliva does not come a lot, however, when I was looking the cartoon. like I was thinking what does that mean, the excess saliva came out.",25,1,1,Finance
3,3,0,1,1,1,1,4,4,4,4,6,2,7,9,1,0,To research cheap alternative methods used to assist those who are physically impaired in any way.,23,0,1,Mathematics
4,4,1,1,1,1,1,4,7,3,7,8,4,7,4,1,0,"I think the purpose of the experiment is to monitor how well people react in these types of situations - where we are asked to compled ""easy"" tasks and monitor how we adjust and use our brain functions to adapt",19,0,1,Communication studies
5,5,0,1,1,1,1,4,5,7,4,5,4,7,6,1,0,"To determine difficulty level of using other parts of the body to perform tasks that are done with hands, writing. To see if it effects the decision as to whther or not something is amusing, while focused and concentrating on using the pen properly.",19,0,1,Food Science
6,6,1,1,1,1,1,4,1,2,3,4,7,8,9,1,0,To find other part in human's body that can use to do multiple things,21,1,1,
7,7,0,1,1,0,1,3,7,9,8,8,1,5,5,1,0,"To help develp techniques for people who do not have full use of thier hands, to understand abilities of writing with mouth",19,0,1,Economics
8,8,1,0,0,0,0,0,6,8,5,6,8,3,3,1,0,"How well the brain and limbs coordinate. Our coordinative capacity of hands, eyes and brain degenerate.",19,0,1,Psychology
9,9,0,0,0,0,0,0,4,2,0,3,0,5,5,1,0,[Unclear written response as participant kept pen in mouth while completing this section. It was clear that participant was not aware of true purpose when debriefed],21,0,1,Law
10,10,1,1,1,1,1,4,9,6,5,9,5,6,7,1,0,I think the purpose of this experiment is to understand dexterity of people and how well they are able to use other ways for performing simple tasks. ,19,1,1,Sociology
11,11,0,1,1,1,1,4,5,4,2,4,1,6,2,1,0,To identify how hard it would be for a person to control a pen/item with their mouth and how they feel while/after performing the task given. The cartoons may be used to identify if a persons 'amusement' level is increased or decreased when they are told to hold a pen in their and make it doeasn't touch the teeth (concentration diverted to holding pen correctly) ,19,0,1,Biochemistry
12,12,1,1,1,1,1,4,1,3,4,6,1,8,5,1,0,"I belive the purpose of this experiment was to better understand psychomotor coordination. By better understanding psychomotor coordination we can help those who use different body parts for daily tasks (i.e. mouth for writing, etc.)",23,0,1,Psychology
13,13,0,1,1,1,1,4,8,6,7,7,5,8,6,1,0,I think that the purpose of this experiment is to see how we can facilitate the life of persons unable to use hands to write and do other activities by finding the best way to hold a pen in their mouths. ,19,0,1,Neuroscience and Mental Health 
14,14,1,1,1,1,1,4,8,2,2,7,0,1,6,1,0,Trying to understand how people can complete tasks with body parts that they wouldn't normally use.,18,0,1,Law
15,15,0,1,1,1,1,4,6,6,7,8,2,6,7,1,0,The purpose of this experiment is to identify the troubles people endure while/if the are or become impaired and to discover new and cheaper methods for them to live their normal days with ease.,20,0,1,BA. Psychology
16,16,1,1,1,1,1,4,0,1,5,9,1,5,8,1,0,Purpose was to examine fine motor movements using parts of the body you wouldn't normally use ,20,0,1,Child Studies
17,17,0,1,1,1,1,4,5,3,6,3,3,4,8,0,0,I believe that the purpose of the study was too see how we can perform things that we normally have no problem doing without using our hands. By not being able to use our hands the tasks become more difficult.,19,0,1,Commerce
18,18,1,1,1,1,1,4,6,3,3,6,1,6,3,1,1,Embodied cognition? By holding a pen in your mouth it forces you to smile. This would lead to rating the cartoons more positively compared to a control group?,20,1,1,Cognitive Science
19,19,0,1,1,1,1,4,9,6,6,7,5,7,7,1,0,I think it was to see how people with a disability looks at life differently. It was quite hard to enjoy the cartoons while struggling to keep the pen in my mouth at the right position. ,25,1,1,Economics 
20,20,1,1,1,1,1,4,6,3,3,6,5,3,7,1,0,"How hard is it for people to use their mouth if they don't have hands. Life does not stop, there is always something to back up.",19,0,1,Bachelor of Arts English
21,21,0,0,0,0,0,0,7,8,3,5,4,7,7,1,0,To see if my accuracy or difficulty writing with the pen increased with seeing amusing cartoons.,21,1,1,Computer Science
22,22,1,1,1,1,1,4,4,2,3,4,0,0,6,1,0,Seeing if I can write properly with my mouth. Seeing if other parts of the body can be used to do daily tasks. ,19,0,1,Psychology
23,23,0,1,1,1,1,4,5,5,6,7,8,7,4,1,0,To determine how difficult tasks are when one must be cogniscent of the way they are writing/communicating. ,27,0,1,Psychology
24,24,1,1,1,1,1,4,3,3,6,5,7,8,6,1,0,According to saw the picture that is better to underline than without pictures. Draw the line is difficult than use hand. (Researcher: ESL student),25,0,1,Economics
25,25,0,1,1,1,1,4,7,9,7,6,6,9,1,1,0,To do task in a way we would normally not do but that some people have to. ,19,0,1,Criminology
26,26,1,1,1,1,1,4,9,7,7,7,6,7,9,1,0,To study if a normal person's cognition will be different if his motorskill is restricted. ,54,1,1,Psychology/Design
27,27,0,0,0,0,0,0,9,6,1,1,4,1,6,1,0,To ascertain abilities of those who are not normally used to performing tasks with alternate body parts apar from one's hands.,24,0,1,Human rights
28,28,1,1,1,1,1,4,6,6,3,5,3,4,3,1,0,Is the ability to perform tasks with parts of our body that we don't use certain things. ,22,1,1,environmental studies
29,29,0,0,0,0,0,0,8,6,6,8,2,6,5,1,0,Testing hand-mouth coordination. Using a pen to test how accurate the mouth muscles are.,21,1,1,Biology/chemistry
30,30,1,1,1,0,1,3,8,9,3,6,3,4,4,1,0,To see how people react to drawing with their mouth?,19,1,1,Neuroscience
31,31,0,1,1,1,1,4,1,2,3,1,1,5,7,1,0,The purpose of this experiment was to provide insight through the eyes of a disabled individual. Not having hands or feet opens up a new spectrum of phsyical mechanics. ,20,0,1,Criminology
32,32,1,1,1,1,1,4,9,6,7,6,7,3,1,1,0,If I was to guess it would be to figure out if difficult task such as holding a pen/marker in your mouth and drawing with it can cause frustration on an individuals face,26,0,1,Psychology
33,33,0,1,1,1,1,4,5,8,6,7,5,7,2,1,0,"In my opinion, I think the purpose of this experiment is to find out the outcome of people's reaction on different situation when they are being controlled or distracted. At first, second task it is easy for people to do, but the 3rd task is complicated annoying to do. People get annoyed, then they will easy to make wrong decision in fourth task. ",21,0,1,Statistics and Economics
34,34,1,0,1,1,1,3,4,2,5,6,2,8,6,1,0,The purpose of this experiment was to test one's ability to using facial parts rather then hands; especially to observe how difficult it can be to do so. ,25,0,1,Biology
35,35,0,1,1,1,1,4,9,9,2,4,0,3,2,1,0,To see how we can use other parts of our body to perform physical + mental tasks.,19,0,1,Biology/Neuro
36,36,1,1,1,1,1,4,7,3,7,8,4,6,5,1,1,"Understanding disabilities or, new thought, does holding your mouth in a laugh/smile position influence feelings of humor. It seems to be about how holding the pen like a grin or smile makes you more likely to find things amusing/laugh, or smile when your face is already in that position",25,0,1,Psychology
37,37,0,1,1,1,1,4,5,7,6,7,5,7,8,1,0,To deciphr if we can adapt our brain to a new way way of doing things while still bein able to successfully complete simple tasks... will our brain so much time focussing on keeping the pen in the correct position that we are not able to easily complete tasks or enjoy stimuli that we normally would. ,45,0,1,Human resources
38,38,1,1,1,1,1,4,3,8,7,9,5,5,3,1,0,It's hard. The purpose is to exam the body function which not used very often,22,1,1,Finance
39,39,0,1,1,1,1,4,0,2,3,3,5,4,5,0,0,Balance,22,0,1,Economics
40,40,1,1,1,1,1,4,9,7,8,9,5,9,8,1,0,to understand how disabled people adapt. Because they can't use a part of thier bidy so they have to find another way.,22,1,1,Psychology
41,41,0,1,1,1,1,4,4,2,2,3,3,6,7,1,1,The experiment was to check to see if inhibiting a smile would change how we interpreted the cartoons,26,1,1,Computer Science
42,42,1,1,1,1,1,4,5,6,6,2,7,8,5,1,0,Part of the experiment is about performing task in an unusual/uncommon way. There is the feeling of discomfort but we are ask to perform a task that can involve thinking. Maybe the researcher wants to see if we can control our physical motricity while using our cognitive part.,32,0,1,French major
43,43,0,1,1,1,1,4,7,4,7,8,5,8,8,1,0,to see if we can use other part of our body (mouth) to do tasks. With that being said; using another part that we don't normally use at all to do certain tasks or everyday activities,24,0,1,Psychology
44,44,1,0,0,1,0,1,6,4,3,3,3,4,3,0,0,"Let us do something we do not do oftenly. If we use mouth to write from childhood, we can do that well",20,0,1,Accounting
45,45,0,1,1,1,1,4,3,6,4,4,3,3,2,1,0,"The disability makes us unhappy. Even that's funny, but I cannot feel happy at all. In the experiment, I was asked for only using my mouth to hold the pen and teeth even can't touch the pen. That's so difficult to write line or circle in the correct position. After reading cartoons, I still feel unhappy, because I don't have ""hands"" to help myself. Purpose: Whether we are happy or feel confortable when we do simply things without our hands. ",19,0,1,Commerce
46,46,1,1,1,1,1,4,8,5,3,6,1,7,9,1,0,The purpose of this experiment is to see how individuals fair with performing tasks with a part of their body they would not usually use.,19,1,1,Biochemistry & Biotechnology
47,47,0,1,1,1,1,4,8,3,6,7,3,5,8,1,0,"To see how using parts of your body for tasks that you wouldnt normally use them for affects other abilities, like understanding cartoons. (I think...)",20,0,1,Law & Psychology
48,48,1,1,1,1,1,4,6,6,6,7,6,7,5,1,0,,21,0,1,Psychology
49,49,0,1,1,1,1,4,1,3,1,3,3,2,7,1,0,"Understanding how people use musceles to do things they don't normally do. To use data from people writing with their mouths to gain a better understanding of how psychomotor coordination workd in regard to using muscles for things other than what they're normally used for. Also, cartoons about cats.",21,1,1,Neuroscience
50,50,1,1,1,1,1,4,5,6,6,7,1,8,5,1,0,The purpose of the experiment is to see the difficulty people have while trying to complete the tasks because some people unfortunately have no other choice than to hold the pen in that manner. The camera was used to ensure it was being done properly and potentially the degree of difficulty and stress the individual encounters,21,0,1,Commerce/Marketing
51,51,0,0,1,1,1,3,7,7,4,4,4,4,3,1,0,Not sure.,29,0,1,Psychology
52,52,1,1,1,1,1,4,7,5,1,1,1,3,5,1,0,The purpose of this experiment is to see how peoples coordinating skills are but not necessarily using the conventional everyday methods. The purpose is to see how others who don't have normal coordination manage to manoeuver. ,20,1,1,Criminology/Law
53,53,0,1,1,1,1,4,4,2,4,4,4,6,8,1,0,"To see how well we exercise control over our body parts to perform everyday tasks. The purpose of this experiment is to see how well we can use our body parts to complete tasks that we do not normally use for them. In terms of psychology, though this study we can use science to explain what our brain can do when given such task. It could help explain how (as mentioned) some disabled citizens can function. They have to do things differently than abled people, but can can we do what they have to go through successfully.  ",18,0,1,Ciminology 
54,54,1,1,1,1,1,4,7,6,0,0,0,0,9,1,0,"There are many possible purposes of this experiment. I am not sure what the actual purpose is. As described, it is to test a novel method for doing a task (e.g. using something you wouldn't normally use). But it could be about following instructions, how people react to the comics, etc. ",37,0,1,Cognitive Science/ RECE
55,55,0,1,1,1,1,4,5,7,1,6,5,8,4,1,0,"To experience how difficult it is for individuals who are not able to use their hands to communicate, writing, studies, etc. It also helped me to understand the importance of participationwith the research that is being conducted to help others who are not able to use their fingers/hands.",57,0,1,Social Work
56,56,1,1,1,1,1,4,9,8,6,5,3,2,8,1,0,Motor Skills. To understand the connection between motor skills and humour. ,18,0,1,Health Science
57,57,0,1,1,1,1,4,3,6,7,2,3,6,8,1,0,"To determine motor skills when foucusing holding pen in a certain way. The purpose of this experiment is to determine a persons motor skills, ability to focus on a task while doing another at the same. ",21,1,1,Commerce
58,58,1,1,1,1,1,4,9,6,4,3,6,4,7,1,0,I think the purpose of this experiment is to understand and try to create technology for people with disabilities like for those who cannot write with their hands. Develop technogies that will make essential tasks like writing easier.,19,0,1,Psychology
59,59,0,1,1,1,1,4,6,3,5,2,4,7,7,1,0,The easier the question is to answer the less trouble will be encountered when completing each task. Maybe it's to prove that there is a relationship between stress and performance; the more stressed you are the worse you'll perform,18,1,1,Health science conc. biomed
60,60,1,1,1,1,1,4,7,5,2,8,7,7,6,1,1,The purpose of this experiment may have been to see whether people would understand or feel differently about the cartoons with holding a pen in their mouth during the experiment.,26,1,1,Food Science
61,61,0,1,1,1,1,4,3,5,4,5,2,5,7,1,0,To evaluate difficulty in writing when hands can not be used,18,0,1,Neuroscience + Mental Health
62,62,1,1,1,1,1,4,8,7,6,2,2,8,6,1,0,How well we balance and write w/ a pen with our teeth. How well our coordination,17,0,1,Neuroscience and Mental Health 
63,63,0,1,0,1,1,3,9,6,3,5,3,6,6,1,1,Testing people's ability to write and maintain proper hold of the pen when they are performing unfamiliar tasks. Also testing if these tasks affect the humor of the comics?,19,0,1,Criminal Justice & Psychology
64,64,1,1,1,1,1,4,6,1,5,3,3,3,8,0,0,To test how the normal people can control the pen to do things which they usually won't use. The results might be compared with the counterparts from impaired people to see the possibility of developing body skills with parts that ordinary people normally won't use. And if there are some variations in understanding while they using parts that they usually not use.,32,0,1,Bachelor of Commerce
65,65,0,1,1,1,1,4,2,1,7,8,4,5,8,1,0,To test motor skills with body parts that you don't normally use them for. The purpose of this experiment was to test basic motor skills by having the patient follow basic drawing directions with parts of their body they don't normally use for drawing/writing.,21,1,1,Criminology
66,66,1,1,1,1,1,4,5,2,2,6,3,8,8,1,0,I think the purpose of this experiment is to view a normal person's ability to use parts of thier body to perform tasks that they would not normally use compared to some of the disabled/handicapped who have no choice but to use them.,18,0,1,Communication Studies
67,67,0,1,1,1,1,4,5,6,3,9,5,8,7,1,0,To explore ways that possibly disabled people can use inlikely parts of their bodies to perform tasks. The study is trying to assess the success of using a mouth to write instead of a hand. ,17,0,1,Criminology
68,68,1,1,1,1,1,4,2,2,6,1,2,8,4,1,0,"I think the purpose of this experiment is what other ways we can write with aside from using our hands, we modify our hands to do things like writing, carrying an object or communicate with other people (sign language). This experiment helps research possible ways we can use different aspects of our bodies that could also help us do other needs. ",18,0,1,Child studies
69,69,0,1,1,1,1,4,6,8,2,4,1,4,8,1,0,To find an easier way for people with certain disabilities to write and use a pen.,18,0,1,Criminology
70,70,1,1,1,1,1,4,3,4,2,8,4,9,8,1,0,"I think the purpose of this experiment was to study one's ability to complete an everyday task with thecomplex use of a different approach to the task. Also, to study how one's mood is affected by doing this complex task. ",18,0,1,Criminology + Psychology
71,71,0,1,1,1,1,4,6,5,5,6,3,7,7,1,0,"I'm not quite sure what the point is, I know it has to do with disabilities and cheaper ways to fix it. ",17,0,1,B.Sc. Undeclared Honours
72,72,1,1,1,1,1,4,4,3,5,1,8,7,8,1,1,"To determine people's ability to multitask by performing everyday actions in a reasonable level of discomfort by using different body parts. It can also bring to light adaptibility as, after a few activities. I became a littrle more accustomed to the penin my mouth. Additionally, holding the pen required smiling which made laughing more likely while looking at cartoons. ",17,0,1,Neuroscience and Mental Health 
73,73,0,1,1,1,1,4,3,3,6,9,2,6,7,1,0,I believe the purpose of this experiment is to differentiate the ability of motor control that parients that are used to being imapred versus non-impared patients have when asked to perform tasks that require a controlled imparement.,17,1,1,Psychology
74,74,1,1,1,1,1,4,7,3,8,1,3,9,8,1,0,See if this method could be a cheaper alternative for someone with a disability where they might normally have to use expensive technology to be able to write.,20,0,1,Computer Science
75,75,0,1,1,1,1,4,3,3,2,4,2,0,9,1,0,"We all know how to write so I think the purpose was to investigate how the brain reacts to doing a simple, experienced task with a different body part thus examining not just a physical impairment but a cognitive one as well.",17,0,,Criminology/CrimJustice
76,76,1,1,1,1,1,4,6,5,2,4,3,4,3,1,0,Test how people's reaction's affect their facial experession. Check if someone's feelings be observed through facial expressions.,25,1,1,B. Commerce
77,77,0,1,1,1,1,4,8,9,7,9,5,9,7,1,0,The purpose of the study is to use your brain to focus on a body part not normally used for varrious tasks (writing with your mouth). It also gives you a feel for people with disabilities that cannot use their hands. I found this task extremely difficult but it was informative. I think this task was very creative and I can see how it is effective with analyzing psychomotor coordination. ,22,1,1,Criminology 
78,78,1,0,1,1,1,3,6,3,6,8,9,9,9,1,0,"I think that this experiment is designed to explore the difficulties experienced by people who have disabilities that prevent them from being ambidextrous, and possibly, to find mechanisms that will enable them to perform normal activities adequately. ",17,1,1,Health sciences
79,79,0,0,0,0,0,0,4,5,3,8,7,6,9,1,0,I think the purpose of this experiment is to understand how necessary certain body parts are for everyday tasks and how humans adjust if they don't have these certain body parts. ,17,0,1,Commerce: Accounting 
80,80,1,1,1,1,1,4,7,4,5,6,3,7,9,1,0,I think that the purpose of this experiment was to gain a better understanding of the challenges people with disabilities face when it comes to completing everyday tasks such as holding a pen.,18,0,1,Commerce
81,81,0,1,1,1,1,4,4,3,6,7,8,8,5,1,0,"To see if individuals who have physical impairments can use their mouth instead of their hands. The purpose of this experiment, as indicated above, is to explore other methods/tools that can be used by someone who is physically impared & has little/no motor skills.   ",46,0,1,Psychology/Senior Program Analyst Federal Government
82,82,1,1,1,1,1,4,4,5,2,6,4,7,5,1,0,"Some people sadly do not have use of their hands, I think the purpose of this experiment was to test a new way for such people to be able to write like a ""normal"" (for lack of a better word) person. Essentially to make their life easier and its quality higher, in a simple yet crucial way. ",18,0,1,Criminology + Criminal justice 
83,83,0,1,1,1,1,4,4,6,2,4,2,7,7,1,0,To see what its like to preform everyday tasks differently (pen in mouth) like people who have disabilities might have to.,17,0,1,Psychology
84,84,1,1,1,1,1,4,3,4,3,5,2,4,6,1,0,to learn how people adapt to using different parts of their body to complete new tasks,19,1,1,Psychology
85,85,0,1,1,1,1,4,4,4,5,6,3,5,8,1,1,I think that the purpose of this experiment was to see if the way we hold a pen in our mouth (eg. lips or teeth) can influence our mood.,20,0,1,Music (minor in psych.)
86,86,1,1,1,1,1,4,4,1,5,7,5,6,6,1,0,The purpose of this experiment is to determine how easily (or hard) it is for a person to complete a simple task using muscles/coordination skills that have not been developed for that purpose. As well the study/experiment is looking for variation between participants to see if any group of people do it better (the experiment) than another group. ,18,0,1,Neuroscience + Mental Health
87,87,0,1,1,1,1,4,8,8,3,6,4,8,2,1,0,I believe the purpose of this experiment was to study how people complete tasks they would not normally do in order to study psycho motor coordination.,18,0,1,Psychology + neuroscience
88,88,1,1,1,1,1,4,8,4,6,7,2,4,6,1,0,To test if humans are capable of doing everyday tasks (writing) using body parts that they would not normally use. The purpose of this experiment is to test the motor skills of humans... whether they can perform different tasks using different parts of their body that they normally not use.,18,0,1,Criminology
89,89,0,1,1,1,1,4,4,4,6,4,5,7,7,1,0,"To test suitability of using your mouth for fine motor skills. Also to tes comprehension and accuracy while having to focus on an unfamiliar task, and while having to suppress urges (building up of saliva in mouth that you can't clear until end of task)",27,1,1,Criminology
90,90,1,1,0,1,1,3,6,3,4,5,1,3,5,1,0,To see if it is possible to do everyday activities (such as writing) without using an esential part of your body (hands).,18,0,1,Commerce: Accounting 
91,91,0,1,1,1,1,4,9,5,5,7,8,9,1,1,0,To learn how people can use a pen with their mouth when they are not used to it. To help develop knew technology fo disabled people who do not have very much motor function. ,17,0,1,Psychology
92,92,1,1,1,1,1,4,6,3,6,9,9,5,5,,0,I think the purpose of this experiment is to determine the level of difficulty some handicap goes through especially those who are unable to use their body part for the original purpose.,39,0,1,Psychology
93,93,0,1,1,1,1,4,7,4,2,6,7,9,7,1,0,"To determine motor skills. I believe that the purpose of the experiment was to determine the motor skills of humans, which may lead to advances in technology such as joy sticks or other technolohical aids.",17,1,1,Criminology
94,94,1,1,1,0,0,2,7,3,2,3,3,4,7,1,0,To experience how difficult it is for some in our society who do not have the luxury of bring physically/mentally capable fully with their bodies.,20,0,1,Business
95,95,0,1,1,1,1,4,6,7,2,1,2,3,7,1,0,To examine the effects of multi-tasking on concentration. To see if concentrating on holding the pen w our mouths detracts from our ability to think about the tasks,18,1,1,Psychology
96,96,1,1,1,1,1,4,7,2,5,7,3,1,7,1,0,I think the purpose of this experiment was to see the effect of completing task with out use the norm.,18,1,1,Commerce
97,97,0,1,1,1,1,4,8,7,2,6,0,1,7,1,0,To see if humans are capable of completing simply tasks or everyday tasks in an abnormal way i.e. writing with your mouth holding the pen instead of your hand.,18,0,1,Biology
98,98,1,1,1,1,1,4,8,6,4,2,1,7,1,1,0,"To show the average person how difficul it is for some to do basic thing; things the average person would never think could be hard. Also, to put things in perpsective.",17,0,1,Commerce
99,99,0,1,1,1,1,4,5,4,7,8,6,5,9,1,0,To understand how we can use other parts of our body to do certain tasks when the usual body part we use is not usable. ,17,0,1,Commerce
100,100,1,1,1,1,1,4,4,6,7,9,6,4,7,1,0,To see if things are still funny when performing a hard task. Or to check for solutions for people using other parts of the body for their daily tasks. ,23,1,1,Psychology
101,101,0,1,1,1,1,4,3,6,4,1,6,4,4,1,0,"I believe this was to help us see that we take the simplest things for granted. Also, we laugh at having to do this, however there are people that have no choice, they have to write with their mouths. So what seems silly and embarising to us is just life to others. ",18,0,1,Child Studies
102,102,1,1,1,1,1,4,6,2,2,8,5,7,8,1,0,The purpose of this experiment is to see how well that people would fair when performing various tasks with parts of their body that they would most likely not use when performing the task.,17,1,1,Business/Commerce
103,103,0,1,1,1,1,4,5,2,6,7,3,6,6,1,0,To see how well we use parts of our body that we don't use a lot/ever. The purpose of this experiment is research people's ability to perform various tasks with parts of the body that we do not normally use for such tasks. ,18,0,1,Psychology
104,104,1,1,1,1,1,4,5,3,4,6,1,7,8,1,0,To understand the cognitive capacity of someone who is trying to multitask while using the pen in their mouth. I.E. be able to understand jokes or think complex grammar while also focusing on using the pen in their mouth.,23,1,1,Kinisiology/ Human ergo designer
105,105,0,1,1,1,1,4,5,3,6,4,3,4,5,1,0,"I believe it was to show how difficult seemingly small skills (in this case the pen in the mouth) can actually be. Also, to show some funny cartoons. ",21,1,1,Child Studies
106,106,1,1,1,1,1,4,7,2,4,6,4,8,7,1,0,I think the purpose is to gage how easy/ hard it is to learn to use other body parts to do everyday tasks.,19,0,1,Psychology
107,107,0,1,1,1,1,4,2,4,3,4,6,5,8,1,0,To notice how effective everyday simple tasks are carried out from an individual and and can they do it if they couldn't use their hands or were disabled.,17,0,1,Bachelor of Health Sciences: Biomed
108,108,1,1,1,1,0,3,7,2,2,4,0,2,8,1,0,"It seems like the purpose of this experiment is to see how normal people can perform various tasks, in this case, writing with a pen in our mouths. Maybe to see how easy or difficult it is to write with ones mouth.",18,1,1,Accounting/Commerce
109,109,0,1,1,1,1,4,7,7,,6,4,1,5,1,0,I think the purpose of this experiment was to see if the participant could focus on the instructions and tasks given to them while in a way they have to read and do them with a distraction such as the pen in the mouth and having to write it while trying trying to keep it in position in the person's mouth.,17,1,1,Psychology
110,110,1,1,1,1,1,4,8,3,6,9,5,7,7,1,0,Test the ability of people on how well they can handle using different body parts for everyday activities.,22,1,1,Accounting
111,111,0,1,1,1,1,4,8,5,4,7,6,8,7,1,0,To see whether or not chane ib physical uses of an object influences the mental process of,18,0,1,Psychology
112,112,1,0,0,0,0,0,7,5,7,5,6,7,5,1,0,"I think the purpose of this experiment was to how well people use a part of their body that they never use, as well as to see how well they can focus on something (such as reading the comic and understanding them) while they are partially distractec (have the pen in their mouth.",19,0,1,Biochemistry
113,113,0,1,1,1,1,4,3,4,3,5,7,7,8,1,1,To test how movement of the face affect emotions as well as testing fine motor skills.,20,0,1,Neuroscience
114,114,1,1,1,1,1,4,6,3,0,0,0,3,7,1,0,The purpose of the experiment is to monitor how people use certain body parts to carry out tasks they wouldn't usually use that body part to do. It could also be to observe how certain body parts are more naturally suited to do certain things.,17,0,1,Criminology & Criminal Justice
115,115,0,1,1,1,1,4,2,3,3,3,1,5,7,1,0,"I think the purpose of the experiment is to understand how people that are physically disabled use everyday objects, such as a pen, to complete simple tasks, such as writing. This experiment shows how people are able to use other parts of their body, for example their mouth, to complete simple tasks. I feel like this experiment is also looking at how difficult it may be for these people to complete daily tasks using other body parts which aren't physically disabled.",18,0,1,Psychology
116,116,1,1,1,1,1,4,6,6,5,5,5,7,3,0,0,"The purpose of this experiment is for people to understand how difficult to write for using mouth rather than hands. It is like an experiment for normal people to experience the disabled people's life. Some disabled people lose their hands, so the only part for them to write is mouth. It shows how difficult for them to write use mouth. You can not have beautiful writing and it is also waste time",19,0,1,Accounting
117,117,0,1,1,1,1,4,8,6,5,6,1,5,6,1,0,To see if we could multitask. The purpose of the experiment is to determine if we can multitask in a different way and how well our performances were.,18,0,1,Psychology (Honours)
118,118,1,1,1,1,1,4,7,5,7,8,3,7,5,1,0,The purpose of this experiment was to see how people are able to coordinate with a pen in their mouth.,18,0,1,Neuroscience
119,119,0,1,0,0,1,2,3,4,2,7,1,5,4,1,0,The test was to asses the plausibility of performing simple tasks without using the body parts that are usually used for such tasks,18,1,1,Commerce
