subjectNo,participantID,"Condition
1= SMILE 0 = POUT","Task performed correctly? 
 1 = YES   0 = NO",,,,,Ratings,,,,,,Self-reported task performance," Comprehension of cartoons
1 = YES   0 = NO","Was the participant aware of the goal?
1= YES  0 = NO",Transcribe the written answer of each participant's guess  of the study's goal.,Age,"Gender
1 = Male   0 = Female","Student
1 = YES   0 = NO",Occupation / Field of study
,,,Cartoon1,Cartoon2,Cartoon3,Cartoon4,Total,Task1,Task2,Cartoon1,Cartoon2,Cartoon3,Cartoon4,,,,,,,,
1,1,0,1,1,1,1,4,7,2,2,7,2,0,5,1,0,ACTIONS WITH UNUSAL BODY PARTS,22,1,1,PSYCHOLOGY
2,2,0,1,1,1,1,4,7,6,1,1,2,5,5,1,0,FACIAL EMOTIONS AND FRUSTRATION,20,0,1,BIOLOGY
3,3,1,1,1,1,0,3,4,7,5,4,6,7,4,1,0,DIFFERENT ACTIONS CAN AFFCT HOW YOU PERCIEVE THINGS,20,0,1,ECONOMICS
4,4,1,1,1,1,1,4,6,3,8,6,4,5,2,1,0,MOOD AFFECTS SKILLS,20,0,1,MARKETING 
5,5,0,1,1,1,1,4,7,6,6,3,2,4,5,1,0,STRESS LEVELS AND HUMOUR,20,1,1,LAW
6,6,0,1,0,1,1,3,8,6,3,4,3,6,3,1,0,COGNITIVE FUNCTION,20,0,1,ENGLISH
7,7,1,1,1,1,1,4,6,3,2,4,5,5,6,1,0,PSYCHOMETRIC COORDINATION ,20,1,1,BUSINESS 
8,8,1,1,1,1,1,4,7,6,7,7,7,8,7,1,0,HOLD PEN WITHOUT SALVIA DRIPPING,20,0,1,LINGUISTICS
9,9,0,1,1,1,1,4,7,5,6,7,4,7,3,1,0,SELF CONTROL,21,1,1,BIOMEDICAL SCIENCE
10,10,0,1,1,1,1,4,6,6,5,7,2,7,7,1,0,PERSONALITY AND PSYCHOMOTOR COORDINATION,20,1,1,BIOMEDICAL SCIENCE
11,11,1,1,1,1,1,4,9,6,7,8,4,4,4,1,0,HOLDING PEN IN UNCOMFORTBALE POSITION AFFECTS HUMOUR,20,0,1,BIOMEDICAL SCIENCE
12,12,1,1,1,1,1,4,5,1,7,3,9,5,6,1,0,PERFORMANCE USING OTHER BODY PARTS,20,1,1,MATHS
13,13,0,1,0,0,0,1,7,1,5,6,1,1,2,1,0,HOW EASY TO WRITE WITH MOUTH,21,1,1,ENGINEERING
14,14,0,1,1,1,1,4,4,5,1,3,0,0,4,1,0,COORDINATION AND DISABILITY ,20,0,1,FINANCE
15,15,1,1,1,1,1,4,6,3,2,5,3,7,7,1,1,CAUSING A SMILE WOTH PEN LEADS TO HIGHER AMUSEMENT FOR CARTOONS,20,1,1,PSYCHOLOGY
16,16,1,1,1,0,1,3,9,6,2,7,6,8,3,1,0,PEOPLE WHO USE MOUTH TO WRITE FIND IT HARD,20,0,1,PSYCHOLOGY
17,17,0,1,1,0,1,3,5,6,2,1,2,4,6,1,0,CARTOONS AFFECT ABILITY TO PERFORM TASK,20,1,1,ENGINEERING
18,18,0,1,0,0,1,2,6,7,3,4,0,2,6,1,0,USING DIFFERENT BODY PARTS,21,1,1,ECOLOGY
19,19,1,1,1,1,1,4,4,5,2,6,4,4,5,0,0,ABILITY TO PERFORM TASKS WITH MOUTH - DISABILITIES,19,1,1,ECONOMICS
20,20,1,1,1,1,1,4,7,0,3,5,8,2,3,1,0,HOW PEOPLE REACT TO SITUATIONS,19,0,1,BAC
21,21,0,1,1,1,1,4,4,2,4,3,3,7,3,1,0,NO CLUE,21,0,1,PSYCHOLOGY
22,22,0,1,1,1,1,4,4,5,2,4,4,5,6,1,0,TASKS USING UNFAMILIAR MUSCLE GROUPS,20,1,1,ENGINEERING
23,23,1,1,1,1,1,4,9,6,1,6,1,2,7,1,0,"NO IDEA, SORRY",20,0,1,PSYCHOLOGY
24,24,1,1,1,1,1,4,6,7,3,3,2,8,7,1,0,MOUTH CONTROL,20,0,1,HISTORY
25,25,0,1,1,1,1,4,7,5,0,0,0,1,6,1,0,FOLLOWING INSTRUCTIONS AND NOT TO CHEAT,20,1,1,GEOGRAPHY
26,26,0,1,1,1,1,4,2,4,5,6,3,1,7,1,0,DIFFERENT STYLES OF WRITING,20,1,1,ECONOMICS
