"state","eth","male","age","educ","n"
"AL","White",-0.5,"18-29","No HS",23948
"AL","White",-0.5,"18-29","HS",59378
"AL","White",-0.5,"18-29","Some college",104855
"AL","White",-0.5,"18-29","4-Year College",37066
"AL","White",-0.5,"18-29","Post-grad",9378
"AL","White",-0.5,"30-39","No HS",14303
"AL","White",-0.5,"30-39","HS",41425
"AL","White",-0.5,"30-39","Some college",65208
"AL","White",-0.5,"30-39","4-Year College",41419
"AL","White",-0.5,"30-39","Post-grad",24648
"AL","White",-0.5,"40-49","No HS",18199
"AL","White",-0.5,"40-49","HS",48377
"AL","White",-0.5,"40-49","Some college",69254
"AL","White",-0.5,"40-49","4-Year College",43833
"AL","White",-0.5,"40-49","Post-grad",24382
"AL","White",-0.5,"50-59","No HS",22665
"AL","White",-0.5,"50-59","HS",73495
"AL","White",-0.5,"50-59","Some college",78874
"AL","White",-0.5,"50-59","4-Year College",36560
"AL","White",-0.5,"50-59","Post-grad",23324
"AL","White",-0.5,"60-69","No HS",23774
"AL","White",-0.5,"60-69","HS",72250
"AL","White",-0.5,"60-69","Some college",67913
"AL","White",-0.5,"60-69","4-Year College",30135
"AL","White",-0.5,"60-69","Post-grad",24348
"AL","White",-0.5,"70+","No HS",46859
"AL","White",-0.5,"70+","HS",98748
"AL","White",-0.5,"70+","Some college",54404
"AL","White",-0.5,"70+","4-Year College",20973
"AL","White",-0.5,"70+","Post-grad",15511
"AL","White",0.5,"18-29","No HS",29593
"AL","White",0.5,"18-29","HS",78976
"AL","White",0.5,"18-29","Some college",94897
"AL","White",0.5,"18-29","4-Year College",29289
"AL","White",0.5,"18-29","Post-grad",5798
"AL","White",0.5,"30-39","No HS",20376
"AL","White",0.5,"30-39","HS",53290
"AL","White",0.5,"30-39","Some college",58147
"AL","White",0.5,"30-39","4-Year College",36716
"AL","White",0.5,"30-39","Post-grad",17104
"AL","White",0.5,"40-49","No HS",26745
"AL","White",0.5,"40-49","HS",59283
"AL","White",0.5,"40-49","Some college",58981
"AL","White",0.5,"40-49","4-Year College",37377
"AL","White",0.5,"40-49","Post-grad",19302
"AL","White",0.5,"50-59","No HS",29459
"AL","White",0.5,"50-59","HS",77537
"AL","White",0.5,"50-59","Some college",62675
"AL","White",0.5,"50-59","4-Year College",36084
"AL","White",0.5,"50-59","Post-grad",21702
"AL","White",0.5,"60-69","No HS",23135
"AL","White",0.5,"60-69","HS",58938
"AL","White",0.5,"60-69","Some college",57480
"AL","White",0.5,"60-69","4-Year College",35579
"AL","White",0.5,"60-69","Post-grad",24800
"AL","White",0.5,"70+","No HS",30832
"AL","White",0.5,"70+","HS",57233
"AL","White",0.5,"70+","Some college",39766
"AL","White",0.5,"70+","4-Year College",26613
"AL","White",0.5,"70+","Post-grad",22057
"AL","Black",-0.5,"18-29","No HS",15587
"AL","Black",-0.5,"18-29","HS",38143
"AL","Black",-0.5,"18-29","Some college",61011
"AL","Black",-0.5,"18-29","4-Year College",10754
"AL","Black",-0.5,"18-29","Post-grad",2300
"AL","Black",-0.5,"30-39","No HS",10055
"AL","Black",-0.5,"30-39","HS",27250
"AL","Black",-0.5,"30-39","Some college",33194
"AL","Black",-0.5,"30-39","4-Year College",13213
"AL","Black",-0.5,"30-39","Post-grad",8249
"AL","Black",-0.5,"40-49","No HS",9117
"AL","Black",-0.5,"40-49","HS",25210
"AL","Black",-0.5,"40-49","Some college",32576
"AL","Black",-0.5,"40-49","4-Year College",11539
"AL","Black",-0.5,"40-49","Post-grad",8873
"AL","Black",-0.5,"50-59","No HS",13233
"AL","Black",-0.5,"50-59","HS",28648
"AL","Black",-0.5,"50-59","Some college",30897
"AL","Black",-0.5,"50-59","4-Year College",11817
"AL","Black",-0.5,"50-59","Post-grad",5988
"AL","Black",-0.5,"60-69","No HS",12885
"AL","Black",-0.5,"60-69","HS",24451
"AL","Black",-0.5,"60-69","Some college",23193
"AL","Black",-0.5,"60-69","4-Year College",8398
"AL","Black",-0.5,"60-69","Post-grad",4916
"AL","Black",-0.5,"70+","No HS",21089
"AL","Black",-0.5,"70+","HS",18424
"AL","Black",-0.5,"70+","Some college",10346
"AL","Black",-0.5,"70+","4-Year College",3380
"AL","Black",-0.5,"70+","Post-grad",3666
"AL","Black",0.5,"18-29","No HS",21788
"AL","Black",0.5,"18-29","HS",47348
"AL","Black",0.5,"18-29","Some college",42684
"AL","Black",0.5,"18-29","4-Year College",6889
"AL","Black",0.5,"18-29","Post-grad",836
"AL","Black",0.5,"30-39","No HS",14813
"AL","Black",0.5,"30-39","HS",28973
"AL","Black",0.5,"30-39","Some college",23424
"AL","Black",0.5,"30-39","4-Year College",6716
"AL","Black",0.5,"30-39","Post-grad",2533
"AL","Black",0.5,"40-49","No HS",10422
"AL","Black",0.5,"40-49","HS",31165
"AL","Black",0.5,"40-49","Some college",19712
"AL","Black",0.5,"40-49","4-Year College",6243
"AL","Black",0.5,"40-49","Post-grad",3032
"AL","Black",0.5,"50-59","No HS",14251
"AL","Black",0.5,"50-59","HS",31530
"AL","Black",0.5,"50-59","Some college",20055
"AL","Black",0.5,"50-59","4-Year College",6221
"AL","Black",0.5,"50-59","Post-grad",3098
"AL","Black",0.5,"60-69","No HS",13355
"AL","Black",0.5,"60-69","HS",21887
"AL","Black",0.5,"60-69","Some college",14735
"AL","Black",0.5,"60-69","4-Year College",5048
"AL","Black",0.5,"60-69","Post-grad",2738
"AL","Black",0.5,"70+","No HS",14417
"AL","Black",0.5,"70+","HS",9626
"AL","Black",0.5,"70+","Some college",6561
"AL","Black",0.5,"70+","4-Year College",1951
"AL","Black",0.5,"70+","Post-grad",2542
"AL","Other",-0.5,"18-29","No HS",1844
"AL","Other",-0.5,"18-29","HS",3834
"AL","Other",-0.5,"18-29","Some college",6711
"AL","Other",-0.5,"18-29","4-Year College",2315
"AL","Other",-0.5,"18-29","Post-grad",629
"AL","Other",-0.5,"30-39","No HS",1389
"AL","Other",-0.5,"30-39","HS",2300
"AL","Other",-0.5,"30-39","Some college",3799
"AL","Other",-0.5,"30-39","4-Year College",2145
"AL","Other",-0.5,"30-39","Post-grad",1202
"AL","Other",-0.5,"40-49","No HS",1145
"AL","Other",-0.5,"40-49","HS",1810
"AL","Other",-0.5,"40-49","Some college",3442
"AL","Other",-0.5,"40-49","4-Year College",2154
"AL","Other",-0.5,"40-49","Post-grad",1739
"AL","Other",-0.5,"50-59","No HS",1408
"AL","Other",-0.5,"50-59","HS",2625
"AL","Other",-0.5,"50-59","Some college",3119
"AL","Other",-0.5,"50-59","4-Year College",1973
"AL","Other",-0.5,"50-59","Post-grad",1369
"AL","Other",-0.5,"60-69","No HS",1248
"AL","Other",-0.5,"60-69","HS",2166
"AL","Other",-0.5,"60-69","Some college",2062
"AL","Other",-0.5,"60-69","4-Year College",990
"AL","Other",-0.5,"60-69","Post-grad",804
"AL","Other",-0.5,"70+","No HS",1575
"AL","Other",-0.5,"70+","HS",1594
"AL","Other",-0.5,"70+","Some college",1416
"AL","Other",-0.5,"70+","4-Year College",517
"AL","Other",-0.5,"70+","Post-grad",393
"AL","Other",0.5,"18-29","No HS",2878
"AL","Other",0.5,"18-29","HS",4360
"AL","Other",0.5,"18-29","Some college",6413
"AL","Other",0.5,"18-29","4-Year College",2128
"AL","Other",0.5,"18-29","Post-grad",664
"AL","Other",0.5,"30-39","No HS",2022
"AL","Other",0.5,"30-39","HS",2655
"AL","Other",0.5,"30-39","Some college",3043
"AL","Other",0.5,"30-39","4-Year College",1941
"AL","Other",0.5,"30-39","Post-grad",825
"AL","Other",0.5,"40-49","No HS",1931
"AL","Other",0.5,"40-49","HS",2011
"AL","Other",0.5,"40-49","Some college",3022
"AL","Other",0.5,"40-49","4-Year College",1035
"AL","Other",0.5,"40-49","Post-grad",1072
"AL","Other",0.5,"50-59","No HS",1531
"AL","Other",0.5,"50-59","HS",1722
"AL","Other",0.5,"50-59","Some college",2511
"AL","Other",0.5,"50-59","4-Year College",973
"AL","Other",0.5,"50-59","Post-grad",1599
"AL","Other",0.5,"60-69","No HS",1461
"AL","Other",0.5,"60-69","HS",1605
"AL","Other",0.5,"60-69","Some college",1731
"AL","Other",0.5,"60-69","4-Year College",884
"AL","Other",0.5,"60-69","Post-grad",1339
"AL","Other",0.5,"70+","No HS",835
"AL","Other",0.5,"70+","HS",959
"AL","Other",0.5,"70+","Some college",1152
"AL","Other",0.5,"70+","4-Year College",471
"AL","Other",0.5,"70+","Post-grad",759
"AL","Hispanic",-0.5,"18-29","No HS",1319
"AL","Hispanic",-0.5,"18-29","HS",1959
"AL","Hispanic",-0.5,"18-29","Some college",3678
"AL","Hispanic",-0.5,"18-29","4-Year College",937
"AL","Hispanic",-0.5,"18-29","Post-grad",152
"AL","Hispanic",-0.5,"30-39","No HS",970
"AL","Hispanic",-0.5,"30-39","HS",1160
"AL","Hispanic",-0.5,"30-39","Some college",1192
"AL","Hispanic",-0.5,"30-39","4-Year College",908
"AL","Hispanic",-0.5,"30-39","Post-grad",289
"AL","Hispanic",-0.5,"40-49","No HS",472
"AL","Hispanic",-0.5,"40-49","HS",803
"AL","Hispanic",-0.5,"40-49","Some college",1120
"AL","Hispanic",-0.5,"40-49","4-Year College",738
"AL","Hispanic",-0.5,"40-49","Post-grad",248
"AL","Hispanic",-0.5,"50-59","No HS",612
"AL","Hispanic",-0.5,"50-59","HS",721
"AL","Hispanic",-0.5,"50-59","Some college",1012
"AL","Hispanic",-0.5,"50-59","4-Year College",555
"AL","Hispanic",-0.5,"50-59","Post-grad",571
"AL","Hispanic",-0.5,"60-69","No HS",227
"AL","Hispanic",-0.5,"60-69","HS",511
"AL","Hispanic",-0.5,"60-69","Some college",612
"AL","Hispanic",-0.5,"60-69","4-Year College",140
"AL","Hispanic",-0.5,"60-69","Post-grad",171
"AL","Hispanic",-0.5,"70+","No HS",563
"AL","Hispanic",-0.5,"70+","HS",918
"AL","Hispanic",-0.5,"70+","Some college",517
"AL","Hispanic",-0.5,"70+","4-Year College",161
"AL","Hispanic",-0.5,"70+","Post-grad",49
"AL","Hispanic",0.5,"18-29","No HS",1943
"AL","Hispanic",0.5,"18-29","HS",2508
"AL","Hispanic",0.5,"18-29","Some college",3096
"AL","Hispanic",0.5,"18-29","4-Year College",755
"AL","Hispanic",0.5,"18-29","Post-grad",14
"AL","Hispanic",0.5,"30-39","No HS",1022
"AL","Hispanic",0.5,"30-39","HS",1312
"AL","Hispanic",0.5,"30-39","Some college",2040
"AL","Hispanic",0.5,"30-39","4-Year College",901
"AL","Hispanic",0.5,"30-39","Post-grad",154
"AL","Hispanic",0.5,"40-49","No HS",660
"AL","Hispanic",0.5,"40-49","HS",867
"AL","Hispanic",0.5,"40-49","Some college",964
"AL","Hispanic",0.5,"40-49","4-Year College",570
"AL","Hispanic",0.5,"40-49","Post-grad",412
"AL","Hispanic",0.5,"50-59","No HS",618
"AL","Hispanic",0.5,"50-59","HS",887
"AL","Hispanic",0.5,"50-59","Some college",953
"AL","Hispanic",0.5,"50-59","4-Year College",883
"AL","Hispanic",0.5,"50-59","Post-grad",690
"AL","Hispanic",0.5,"60-69","No HS",321
"AL","Hispanic",0.5,"60-69","HS",350
"AL","Hispanic",0.5,"60-69","Some college",720
"AL","Hispanic",0.5,"60-69","4-Year College",450
"AL","Hispanic",0.5,"60-69","Post-grad",388
"AL","Hispanic",0.5,"70+","No HS",230
"AL","Hispanic",0.5,"70+","HS",324
"AL","Hispanic",0.5,"70+","Some college",484
"AL","Hispanic",0.5,"70+","4-Year College",303
"AL","Hispanic",0.5,"70+","Post-grad",87
"AK","White",-0.5,"18-29","No HS",2863
"AK","White",-0.5,"18-29","HS",8337
