gender,field,level,sentiment,intention,left,month,Male,Low,Medium,Finance,Health,Law,Public/Government,Sales/Marketing
F,Education and Training,Low,8,5,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Medium,8,3,1,11,False,False,True,False,False,False,False,False
F,Education and Training,Low,10,7,1,9,False,True,False,False,False,False,False,False
F,Education and Training,High,8,2,0,12,False,False,False,False,False,False,False,False
F,Education and Training,Low,8,8,0,12,False,True,False,False,False,False,False,False
F,Finance,Low,10,7,0,12,False,True,False,True,False,False,False,False
F,Education and Training,Low,8,4,0,3,False,True,False,False,False,False,False,False
F,Public/Government,Low,4,4,1,8,False,True,False,False,False,False,True,False
F,Finance,Low,7,7,1,8,False,True,False,True,False,False,False,False
F,Health,Low,8,6,1,4,False,True,False,False,True,False,False,False
F,Health,Low,8,2,0,12,False,True,False,False,True,False,False,False
F,Finance,Low,8,7,1,5,False,True,False,True,False,False,False,False
F,Education and Training,Low,9,5,1,11,False,True,False,False,False,False,False,False
F,Finance,Low,2,7,0,12,False,True,False,True,False,False,False,False
F,Public/Government,High,1,9,0,5,False,False,False,False,False,False,True,False
F,Education and Training,Low,7,5,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Low,8,2,0,2,False,True,False,False,False,False,False,False
F,Finance,Medium,9,3,1,3,False,False,True,True,False,False,False,False
F,Health,Low,1,9,1,6,False,True,False,False,True,False,False,False
F,Finance,Low,8,1,1,3,False,True,False,True,False,False,False,False
F,Finance,Low,7,6,0,1,False,True,False,True,False,False,False,False
F,Education and Training,Medium,8,3,0,12,False,False,True,False,False,False,False,False
F,Education and Training,Low,8,2,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Low,7,4,0,3,False,True,False,False,False,False,False,False
F,Finance,Low,4,4,0,12,False,True,False,True,False,False,False,False
F,Sales/Marketing,Low,1,9,0,12,False,True,False,False,False,False,False,True
F,Finance,Low,7,4,0,12,False,True,False,True,False,False,False,False
F,Public/Government,Low,8,7,1,6,False,True,False,False,False,False,True,False
F,Finance,Low,4,7,0,12,False,True,False,True,False,False,False,False
F,Public/Government,Low,7,5,0,12,False,True,False,False,False,False,True,False
F,Health,Medium,9,1,0,12,False,False,True,False,True,False,False,False
F,Finance,Medium,7,6,1,3,False,False,True,True,False,False,False,False
F,Education and Training,High,6,7,0,12,False,False,False,False,False,False,False,False
F,Finance,Low,10,2,0,12,False,True,False,True,False,False,False,False
F,Finance,High,8,3,0,12,False,False,False,True,False,False,False,False
F,Finance,Low,6,8,1,2,False,True,False,True,False,False,False,False
F,Education and Training,Medium,10,3,0,9,False,False,True,False,False,False,False,False
F,Education and Training,Low,7,2,1,11,False,True,False,False,False,False,False,False
F,Finance,Low,7,4,1,5,False,True,False,True,False,False,False,False
F,Education and Training,Low,6,7,0,12,False,True,False,False,False,False,False,False
F,Finance,Low,7,3,1,3,False,True,False,True,False,False,False,False
F,Education and Training,Low,7,2,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Low,7,4,0,12,False,True,False,False,False,False,False,False
F,Law,High,8,4,0,12,False,False,False,False,False,True,False,False
F,Finance,Low,8,4,0,1,False,True,False,True,False,False,False,False
F,Education and Training,Low,3,3,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Low,8,3,0,2,False,True,False,False,False,False,False,False
F,Sales/Marketing,Medium,10,5,1,4,False,False,True,False,False,False,False,True
F,Education and Training,Low,8,4,0,12,False,True,False,False,False,False,False,False
F,Education and Training,High,9,4,0,12,False,False,False,False,False,False,False,False
F,Finance,Low,7,2,0,8,False,True,False,True,False,False,False,False
F,Sales/Marketing,Low,8,2,1,11,False,True,False,False,False,False,False,True
F,Sales/Marketing,Low,8,4,0,12,False,True,False,False,False,False,False,True
F,Finance,Low,8,4,0,12,False,True,False,True,False,False,False,False
F,Law,Low,2,5,1,9,False,True,False,False,False,True,False,False
F,Public/Government,Low,8,8,1,3,False,True,False,False,False,False,True,False
F,Education and Training,Low,8,6,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Medium,8,4,1,9,False,False,True,False,False,False,False,False
F,Sales/Marketing,Low,10,1,0,9,False,True,False,False,False,False,False,True
F,Finance,Medium,7,4,0,12,False,False,True,True,False,False,False,False
F,Education and Training,Low,8,4,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Low,5,10,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Low,4,6,0,12,False,True,False,False,False,False,False,False
F,Finance,Medium,8,1,0,10,False,False,True,True,False,False,False,False
F,Education and Training,Low,9,2,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Medium,7,9,1,11,False,False,True,False,False,False,False,False
F,Finance,High,7,5,1,9,False,False,False,True,False,False,False,False
F,Public/Government,Low,10,8,0,12,False,True,False,False,False,False,True,False
F,Education and Training,High,7,2,0,12,False,False,False,False,False,False,False,False
F,Education and Training,Low,8,4,0,2,False,True,False,False,False,False,False,False
F,Education and Training,Low,7,2,0,12,False,True,False,False,False,False,False,False
F,Finance,Low,7,2,0,12,False,True,False,True,False,False,False,False
F,Law,Low,3,6,0,8,False,True,False,False,False,True,False,False
F,Finance,Low,4,5,1,10,False,True,False,True,False,False,False,False
F,Finance,Low,3,4,1,10,False,True,False,True,False,False,False,False
F,Public/Government,Low,8,2,0,1,False,True,False,False,False,False,True,False
F,Law,Low,7,2,0,6,False,True,False,False,False,True,False,False
F,Education and Training,Low,10,2,1,11,False,True,False,False,False,False,False,False
F,Finance,Low,8,3,0,12,False,True,False,True,False,False,False,False
F,Finance,Medium,8,7,1,7,False,False,True,True,False,False,False,False
F,Education and Training,Low,7,1,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Low,7,4,1,10,False,True,False,False,False,False,False,False
F,Sales/Marketing,Low,10,4,0,12,False,True,False,False,False,False,False,True
F,Education and Training,Low,8,1,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Low,7,3,0,12,False,True,False,False,False,False,False,False
F,Sales/Marketing,Low,9,3,0,12,False,True,False,False,False,False,False,True
F,Sales/Marketing,Low,8,2,1,10,False,True,False,False,False,False,False,True
F,Education and Training,Low,10,3,0,12,False,True,False,False,False,False,False,False
F,Finance,Low,7,10,1,2,False,True,False,True,False,False,False,False
F,Finance,Low,7,3,1,6,False,True,False,True,False,False,False,False
F,Education and Training,Medium,7,4,1,3,False,False,True,False,False,False,False,False
F,Education and Training,Low,4,4,0,12,False,True,False,False,False,False,False,False
F,Finance,Low,7,8,1,12,False,True,False,True,False,False,False,False
F,Sales/Marketing,Low,9,4,1,11,False,True,False,False,False,False,False,True
F,Finance,Low,10,5,0,12,False,True,False,True,False,False,False,False
F,Education and Training,Low,7,10,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Medium,7,4,1,12,False,False,True,False,False,False,False,False
F,Finance,Low,10,3,0,12,False,True,False,True,False,False,False,False
F,Finance,Medium,6,8,0,10,False,False,True,True,False,False,False,False
F,Sales/Marketing,Low,8,4,0,8,False,True,False,False,False,False,False,True
F,Sales/Marketing,Medium,9,1,1,4,False,False,True,False,False,False,False,True
F,Education and Training,High,7,8,1,4,False,False,False,False,False,False,False,False
F,Education and Training,Low,7,7,1,3,False,True,False,False,False,False,False,False
F,Public/Government,Low,7,4,1,5,False,True,False,False,False,False,True,False
F,Finance,Low,10,5,0,12,False,True,False,True,False,False,False,False
F,Finance,High,7,5,0,12,False,False,False,True,False,False,False,False
F,Finance,Low,10,3,0,12,False,True,False,True,False,False,False,False
F,Public/Government,Medium,10,1,0,12,False,False,True,False,False,False,True,False
F,Education and Training,Medium,8,4,0,12,False,False,True,False,False,False,False,False
F,Education and Training,Low,7,5,0,12,False,True,False,False,False,False,False,False
F,Health,Low,8,6,1,4,False,True,False,False,True,False,False,False
F,Finance,Medium,7,8,0,12,False,False,True,True,False,False,False,False
F,Finance,High,10,3,1,6,False,False,False,True,False,False,False,False
F,Finance,Low,10,3,0,12,False,True,False,True,False,False,False,False
F,Education and Training,Low,8,5,1,6,False,True,False,False,False,False,False,False
F,Education and Training,High,8,2,0,9,False,False,False,False,False,False,False,False
F,Finance,Low,8,5,1,3,False,True,False,True,False,False,False,False
F,Sales/Marketing,Low,8,6,1,7,False,True,False,False,False,False,False,True
F,Law,Low,5,6,1,9,False,True,False,False,False,True,False,False
F,Public/Government,Low,7,6,1,4,False,True,False,False,False,False,True,False
F,Finance,Low,4,2,1,1,False,True,False,True,False,False,False,False
F,Public/Government,Medium,9,3,0,12,False,False,True,False,False,False,True,False
F,Education and Training,Low,10,1,0,12,False,True,False,False,False,False,False,False
F,Finance,Low,7,6,0,12,False,True,False,True,False,False,False,False
F,Law,Low,4,6,0,12,False,True,False,False,False,True,False,False
F,Finance,Low,9,7,1,8,False,True,False,True,False,False,False,False
F,Health,Low,7,4,0,12,False,True,False,False,True,False,False,False
F,Finance,Low,5,4,1,9,False,True,False,True,False,False,False,False
F,Education and Training,Low,7,6,1,3,False,True,False,False,False,False,False,False
F,Sales/Marketing,Medium,8,1,0,12,False,False,True,False,False,False,False,True
F,Finance,Low,8,5,1,7,False,True,False,True,False,False,False,False
F,Finance,Medium,10,4,0,12,False,False,True,True,False,False,False,False
F,Finance,Low,10,2,1,3,False,True,False,True,False,False,False,False
F,Education and Training,Low,7,4,1,11,False,True,False,False,False,False,False,False
F,Education and Training,Medium,2,8,1,10,False,False,True,False,False,False,False,False
F,Finance,Medium,10,6,0,12,False,False,True,True,False,False,False,False
F,Education and Training,High,8,2,0,12,False,False,False,False,False,False,False,False
F,Education and Training,Low,7,5,0,12,False,True,False,False,False,False,False,False
F,Finance,Low,8,3,1,8,False,True,False,True,False,False,False,False
F,Finance,Low,7,6,0,5,False,True,False,True,False,False,False,False
F,Health,Low,5,5,1,7,False,True,False,False,True,False,False,False
F,Sales/Marketing,Low,8,3,0,12,False,True,False,False,False,False,False,True
F,Finance,Low,7,6,0,11,False,True,False,True,False,False,False,False
F,Education and Training,Low,9,3,0,12,False,True,False,False,False,False,False,False
F,Public/Government,Low,7,6,1,9,False,True,False,False,False,False,True,False
F,Education and Training,Low,7,2,0,12,False,True,False,False,False,False,False,False
F,Education and Training,Low,10,4,0,12,False,True,False,False,False,False,False,False
