uid,condition,gender,age,study,self_perf,stimulus,value
1.0,0.0,1.0,24.0,0.0,8.0,rating_c1,3.0
2.0,1.0,0.0,27.0,0.0,9.0,rating_c1,7.0
3.0,0.0,1.0,25.0,0.0,3.0,rating_c1,5.0
5.0,0.0,1.0,20.0,0.0,3.0,rating_c1,7.0
8.0,1.0,1.0,19.0,0.0,6.0,rating_c1,6.0
9.0,0.0,1.0,22.0,0.0,3.0,rating_c1,6.0
10.0,1.0,1.0,49.0,0.0,4.0,rating_c1,6.0
11.0,0.0,0.0,24.0,0.0,5.0,rating_c1,7.0
12.0,1.0,0.0,26.0,0.0,6.0,rating_c1,2.0
13.0,0.0,1.0,23.0,0.0,7.0,rating_c1,1.0
14.0,1.0,0.0,27.0,0.0,4.0,rating_c1,2.0
19.0,0.0,0.0,21.0,0.0,2.0,rating_c1,7.0
22.0,1.0,0.0,20.0,0.0,6.0,rating_c1,3.0
23.0,0.0,1.0,25.0,0.0,7.0,rating_c1,9.0
24.0,1.0,0.0,23.0,0.0,9.0,rating_c1,1.0
26.0,1.0,0.0,20.0,0.0,6.0,rating_c1,2.0
27.0,0.0,1.0,20.0,0.0,6.0,rating_c1,0.0
28.0,1.0,0.0,20.0,0.0,5.0,rating_c1,6.0
29.0,0.0,1.0,22.0,0.0,5.0,rating_c1,3.0
30.0,1.0,1.0,18.0,0.0,5.0,rating_c1,2.0
32.0,1.0,0.0,23.0,0.0,3.0,rating_c1,3.0
33.0,0.0,0.0,23.0,0.0,4.5,rating_c1,2.0
34.0,1.0,1.0,19.0,0.0,6.0,rating_c1,4.0
35.0,0.0,1.0,19.0,0.0,5.0,rating_c1,4.0
36.0,1.0,0.0,19.0,0.0,5.0,rating_c1,4.0
37.0,0.0,0.0,19.0,0.0,8.0,rating_c1,2.0
38.0,1.0,1.0,19.0,0.0,7.0,rating_c1,1.0
41.0,0.0,0.0,25.0,0.0,7.0,rating_c1,6.0
42.0,1.0,1.0,19.0,0.0,6.0,rating_c1,4.0
43.0,0.0,0.0,25.0,0.0,5.0,rating_c1,5.0
44.0,1.0,0.0,23.0,0.0,6.0,rating_c1,3.0
46.0,1.0,0.0,23.0,0.0,6.0,rating_c1,5.0
47.0,0.0,0.0,23.0,0.0,6.0,rating_c1,2.0
51.0,0.0,0.0,30.0,0.0,6.0,rating_c1,7.0
52.0,1.0,0.0,30.0,0.0,6.0,rating_c1,3.0
53.0,0.0,1.0,24.0,0.0,2.0,rating_c1,4.0
54.0,1.0,0.0,22.0,0.0,6.0,rating_c1,6.0
56.0,1.0,0.0,20.0,0.0,7.0,rating_c1,6.0
57.0,0.0,0.0,20.0,0.0,7.0,rating_c1,4.0
58.0,1.0,1.0,22.0,0.0,8.0,rating_c1,7.0
61.0,0.0,1.0,21.0,0.0,6.0,rating_c1,3.0
62.0,1.0,0.0,20.0,0.0,4.0,rating_c1,5.0
64.0,1.0,0.0,22.0,0.0,9.0,rating_c1,9.0
66.0,1.0,0.0,21.0,0.0,7.0,rating_c1,2.0
67.0,0.0,0.0,23.0,0.0,7.0,rating_c1,4.0
68.0,1.0,0.0,20.0,0.0,4.0,rating_c1,2.0
69.0,0.0,0.0,19.0,0.0,3.0,rating_c1,6.0
71.0,0.0,0.0,21.0,0.0,5.0,rating_c1,1.0
72.0,1.0,0.0,18.0,0.0,8.0,rating_c1,8.0
73.0,0.0,0.0,23.0,0.0,6.0,rating_c1,3.0
74.0,1.0,0.0,28.0,0.0,5.0,rating_c1,6.0
78.0,1.0,0.0,18.0,0.0,8.0,rating_c1,1.0
81.0,0.0,0.0,23.0,0.0,6.0,rating_c1,7.0
82.0,1.0,1.0,38.0,0.0,3.0,rating_c1,5.0
83.0,0.0,1.0,36.0,0.0,3.0,rating_c1,9.0
84.0,1.0,0.0,20.0,0.0,6.0,rating_c1,6.0
85.0,0.0,0.0,21.0,0.0,6.0,rating_c1,7.0
87.0,0.0,0.0,23.0,0.0,8.0,rating_c1,7.0
88.0,1.0,0.0,19.0,0.0,9.0,rating_c1,6.0
89.0,0.0,0.0,18.0,0.0,3.0,rating_c1,6.0
90.0,1.0,1.0,5.0,0.0,5.0,rating_c1,7.0
91.0,0.0,0.0,25.0,0.0,7.0,rating_c1,6.0
92.0,1.0,0.0,24.0,0.0,6.0,rating_c1,3.0
94.0,1.0,1.0,19.0,0.0,8.0,rating_c1,3.0
96.0,1.0,0.0,23.0,0.0,7.0,rating_c1,2.0
97.0,0.0,1.0,23.0,0.0,3.0,rating_c1,5.0
98.0,1.0,0.0,20.0,0.0,8.0,rating_c1,6.0
100.0,1.0,0.0,20.0,0.0,8.0,rating_c1,4.0
101.0,0.0,1.0,22.0,0.0,7.0,rating_c1,2.0
106.0,1.0,0.0,23.0,0.0,5.0,rating_c1,4.0
107.0,0.0,0.0,22.0,0.0,5.0,rating_c1,3.0
109.0,0.0,0.0,19.0,0.0,4.0,rating_c1,0.0
112.0,1.0,1.0,23.0,0.0,4.0,rating_c1,6.0
113.0,0.0,0.0,23.0,0.0,4.0,rating_c1,3.0
115.0,0.0,0.0,20.0,0.0,7.0,rating_c1,3.0
116.0,1.0,0.0,21.0,0.0,6.0,rating_c1,2.0
119.0,0.0,0.0,21.0,0.0,7.0,rating_c1,4.0
121.0,0.0,0.0,19.0,0.0,8.0,rating_c1,6.0
122.0,1.0,0.0,20.0,0.0,2.0,rating_c1,5.0
129.0,0.0,0.0,21.0,0.0,6.0,rating_c1,3.0
130.0,1.0,0.0,21.0,0.0,8.0,rating_c1,7.0
131.0,0.0,0.0,19.0,0.0,6.0,rating_c1,7.0
133.0,0.0,1.0,21.0,0.0,8.0,rating_c1,3.0
134.0,1.0,1.0,19.0,0.0,3.0,rating_c1,7.0
136.0,1.0,1.0,19.0,0.0,4.0,rating_c1,3.0
139.0,0.0,1.0,25.0,0.0,7.0,rating_c1,6.0
140.0,1.0,0.0,24.0,0.0,4.0,rating_c1,6.0
142.0,1.0,1.0,21.0,0.0,3.0,rating_c1,5.0
144.0,1.0,0.0,22.0,0.0,2.0,rating_c1,7.0
145.0,0.0,1.0,23.0,0.0,7.0,rating_c1,2.0
146.0,1.0,0.0,19.0,0.0,6.0,rating_c1,5.0
148.0,1.0,1.0,26.0,0.0,2.0,rating_c1,1.0
149.0,0.0,0.0,24.0,0.0,6.0,rating_c1,4.0
150.0,1.0,0.0,22.0,0.0,7.0,rating_c1,2.0
151.0,0.0,1.0,21.0,0.0,2.0,rating_c1,5.0
153.0,0.0,1.0,21.0,0.0,7.0,rating_c1,4.0
154.0,1.0,0.0,22.0,0.0,5.0,rating_c1,3.0
155.0,0.0,0.0,23.0,0.0,2.0,rating_c1,6.0
157.0,0.0,1.0,19.0,0.0,6.0,rating_c1,1.0
158.0,1.0,1.0,21.0,0.0,6.0,rating_c1,7.0
