"subject","target","trial","race","object","time","response"
1,"w05",19,"white","nogun","658","correct"
2,"b07",19,"black","gun","573","correct"
3,"w05",19,"white","gun","369","correct"
4,"w07",19,"white","gun","495","correct"
5,"w15",19,"white","nogun","483","correct"
6,"w96",19,"white","nogun","786","correct"
7,"w13",19,"white","nogun","519","correct"
8,"w06",19,"white","nogun","567","correct"
9,"b14",19,"black","gun","672","incorrect"
10,"w90",19,"white","gun","457","correct"
11,"w91",19,"white","nogun","599","correct"
12,"b17",19,"black","nogun","769","correct"
13,"b04",19,"black","nogun","600","correct"
14,"w17",19,"white","nogun","653","correct"
15,"b93",19,"black","gun","468","correct"
16,"w96",19,"white","gun","546","correct"
17,"w91",19,"white","gun","591","incorrect"
18,"b95",19,"black","gun",".","timeout"
19,"b09",19,"black","gun","656","correct"
20,"b02",19,"black","gun","617","correct"
21,"b13",19,"black","gun","456","correct"
22,"b98",19,"black","nogun","594","correct"
23,"b02",19,"black","nogun","600","correct"
24,"w07",19,"white","gun","645","correct"
25,"w14",19,"white","nogun","523","correct"
26,"b07",19,"black","nogun","581","incorrect"
27,"b17",19,"black","nogun","515","correct"
28,"b12",19,"black","nogun","594","correct"
29,"w11",19,"white","gun","425","correct"
30,"b91",19,"black","nogun","706","correct"
31,"b90",19,"black","gun","478","correct"
32,"b17",19,"black","gun","569","correct"
33,"b98",19,"black","nogun","562","incorrect"
34,"w94",19,"white","gun","451","correct"
35,"w93",19,"white","gun","592","correct"
36,"b10",19,"black","nogun","732","correct"
1,"w15",20,"white","nogun","622","correct"
2,"b11",20,"black","gun","674","correct"
3,"b05",20,"black","gun","410","correct"
4,"w11",20,"white","nogun","516","correct"
5,"w08",20,"white","gun","585","correct"
6,"w15",20,"white","gun","444","correct"
7,"w17",20,"white","gun","633","correct"
8,"w14",20,"white","nogun","551","correct"
9,"w07",20,"white","nogun","641","correct"
10,"w13",20,"white","nogun","538","correct"
11,"b93",20,"black","gun","677","correct"
12,"b16",20,"black","nogun","587","correct"
13,"w05",20,"white","nogun","656","correct"
14,"w11",20,"white","nogun","651","correct"
15,"w97",20,"white","gun","481","correct"
16,"b16",20,"black","gun","497","correct"
17,"b90",20,"black","gun","640","correct"
18,"b05",20,"black","gun","615","correct"
19,"w19",20,"white","nogun","574","correct"
20,"w01",20,"white","gun","620","correct"
21,"w97",20,"white","nogun","389","incorrect"
22,"w90",20,"white","gun","525","correct"
23,"w99",20,"white","gun","494","correct"
24,"w91",20,"white","gun","594","correct"
25,"w95",20,"white","gun","592","correct"
26,"w99",20,"white","gun","594","correct"
27,"b94",20,"black","nogun","560","incorrect"
28,"w16",20,"white","nogun","467","correct"
29,"w06",20,"white","gun","492","correct"
30,"w17",20,"white","nogun","565","incorrect"
31,"b92",20,"black","nogun","600","correct"
32,"b93",20,"black","nogun","606","correct"
33,"b98",20,"black","gun","626","correct"
34,"b12",20,"black","gun","492","correct"
35,"b99",20,"black","nogun","814","correct"
36,"w93",20,"white","nogun","690","correct"
1,"b92",21,"black","nogun","639","correct"
2,"b97",21,"black","nogun","765","correct"
3,"b14",21,"black","gun","532","correct"
4,"w99",21,"white","nogun","539","correct"
5,"b02",21,"black","gun","540","correct"
6,"w95",21,"white","gun","564","correct"
7,"b97",21,"black","nogun","752","correct"
8,"w96",21,"white","nogun","585","correct"
9,"w03",21,"white","nogun","409","incorrect"
10,"b11",21,"black","gun","487","correct"
11,"w13",21,"white","nogun","634","correct"
12,"w97",21,"white","gun","504","correct"
13,"w04",21,"white","nogun","555","correct"
14,"w96",21,"white","nogun","792","correct"
15,"w15",21,"white","gun","389","correct"
16,"b08",21,"black","nogun","614","correct"
17,"w11",21,"white","gun","580","correct"
18,"b04",21,"black","nogun","559","correct"
19,"w14",21,"white","nogun","547","correct"
20,"w96",21,"white","gun","683","correct"
21,"w97",21,"white","gun","664","correct"
22,"w94",21,"white","gun","572","correct"
23,"w02",21,"white","gun","545","correct"
24,"b17",21,"black","gun","644","correct"
25,"w93",21,"white","gun","461","correct"
26,"b90",21,"black","nogun","625","correct"
27,"w90",21,"white","gun","532","correct"
28,"w96",21,"white","gun","555","incorrect"
29,"w06",21,"white","nogun","812","correct"
30,"w98",21,"white","gun","664","correct"
31,"w92",21,"white","nogun","573","correct"
32,"b98",21,"black","nogun","717","correct"
33,"b10",21,"black","gun","558","correct"
34,"w90",21,"white","nogun","636","correct"
35,"w93",21,"white","nogun","699","correct"
36,"b02",21,"black","gun","525","correct"
1,"w11",22,"white","nogun","494","correct"
2,"w94",22,"white","gun","533","correct"
3,"w92",22,"white","nogun","613","correct"
4,"b02",22,"black","nogun","466","correct"
5,"w98",22,"white","nogun","645","correct"
6,"b91",22,"black","nogun","731","correct"
7,"b90",22,"black","nogun","562","correct"
8,"b98",22,"black","gun","575","correct"
9,"b93",22,"black","gun","633","correct"
10,"b04",22,"black","nogun","673","correct"
11,"w92",22,"white","gun","667","correct"
12,"w98",22,"white","gun","501","correct"
13,"b05",22,"black","nogun","617","correct"
14,"b05",22,"black","nogun","749","correct"
15,"b16",22,"black","gun","468","correct"
16,"b11",22,"black","gun","452","correct"
17,"b91",22,"black","nogun","622","correct"
18,"w04",22,"white","nogun","488","incorrect"
19,"w96",22,"white","gun","399","correct"
20,"b14",22,"black","gun","699","correct"
21,"w19",22,"white","nogun","773","correct"
22,"b12",22,"black","gun","503","correct"
23,"b05",22,"black","nogun","533","correct"
24,"w02",22,"white","gun","508","correct"
25,"w91",22,"white","gun","616","correct"
26,"b95",22,"black","gun","437","correct"
27,"b12",22,"black","nogun","523","correct"
28,"w98",22,"white","gun","463","correct"
29,"w93",22,"white","nogun","584","correct"
30,"w02",22,"white","nogun","459","incorrect"
31,"w98",22,"white","nogun","572","correct"
32,"b11",22,"black","nogun","646","correct"
33,"w03",22,"white","nogun","577","correct"
34,"w97",22,"white","nogun","636","correct"
35,"b96",22,"black","gun","606","correct"
36,"w19",22,"white","gun","589","correct"
1,"b93",23,"black","nogun","562","correct"
2,"b04",23,"black","nogun","626","correct"
3,"w14",23,"white","gun","406","correct"
4,"w94",23,"white","gun","504","correct"
5,"w90",23,"white","gun","531","correct"
6,"w02",23,"white","nogun","597","correct"
7,"b05",23,"black","nogun","684","correct"
8,"b11",23,"black","gun","574","correct"
9,"b13",23,"black","nogun","608","incorrect"
10,"b96",23,"black","nogun","609","correct"
11,"b97",23,"black","gun","611","correct"
12,"w01",23,"white","nogun","657","correct"
13,"w19",23,"white","gun","539","correct"
14,"w98",23,"white","nogun","729","correct"
15,"w13",23,"white","gun","536","correct"
16,"b13",23,"black","gun","490","correct"
17,"w07",23,"white","nogun","714","correct"
18,"b17",23,"black","nogun","719","correct"
19,"b02",23,"black","nogun","527","correct"
20,"b17",23,"black","nogun","783","correct"
21,"b97",23,"black","gun","607","correct"
22,"w04",23,"white","gun","663","correct"
23,"b16",23,"black","gun","510","correct"
24,"w92",23,"white","gun",".","timeout"
25,"w92",23,"white","nogun","595","incorrect"
26,"w92",23,"white","gun","661","correct"
27,"b10",23,"black","gun","655","incorrect"
28,"b14",23,"black","nogun","579","correct"
29,"b03",23,"black","nogun","584","correct"
30,"b96",23,"black","gun","673","correct"
31,"b13",23,"black","gun","372","correct"
32,"w01",23,"white","nogun","664","correct"
33,"b03",23,"black","nogun","480","correct"
34,"b16",23,"black","gun","529","correct"
35,"w13",23,"white","gun","599","correct"
36,"b92",23,"black","gun","623","incorrect"
1,"w15",24,"white","gun","552","correct"
