subjectNO,participantID,"Condition
1= SMILE 0 = POUT","Task performed correctly? 
 1 = YES   0 = NO",,,,,Ratings,,,,,,Self-reported task performance," Comprehension of cartoons
1 = YES   0 = NO","Was the participant aware of the goal?
1= YES  0 = NO",Transcribe the written answer of each participant's guess  of the study's goal.,Age,"Gender
1 = Male   0 = Female","Student
1 = YES   0 = NO",Occupation / Field of study
,,,Cartoon1,Cartoon2,Cartoon3,Cartoon4,Total,Task1,Task2,Cartoon1,Cartoon2,Cartoon3,Cartoon4,,,,,,,,
1,1,0,1,1,1,1,4,4,3,3,4,6,2,6,1,0,"I imagine it has something to do with testing different positions the pen can be held in and how effective they are, but it wouldn't surprise me if it were something different entirely.",20,1,1,Math
2,2,1,1,0,0,0,1,4,2,9,9,9,9,6,1,0,I think that the purpose of the experiment is to see the extent to which holding a pen would affect one's disposition. ,19,1,1,Student
3,3,0,0,0,0,0,0,6,5,3,6,4,6,9,1,1,"By having subjects form the facial of scowling/worry by holding the pen in its correct position, this experiment was designed to test how people's amusement changed based on performed facial expression. (I came up with this theory after performing the tests.)",21,1,1,Political Science
4,4,1,1,1,1,1,4,5,2,4,6,9,3,8,1,0,"I think the purpose is to show how difficult it can be to relearn how to do menial tasks in a different way, like trying to learn to ride a backwards bicycle after already knowing how to ride a normal bike. I also think it may be about the accuracy of how well a person performs a task compared to how well they think they did. ",19,1,1,Computer Science/Theatre
5,5,0,0,0,0,0,0,5,6,5,8,6,7,8,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] I think the purpose is to make people more aware of technologies and hardships in regard to disabilities related to motor skills. I think it also is to show people how difficult it can be, but that as time and practice occurs, it should get easier. Perhaps encouragment in a sense? But broadly to see how people react to being put in positions of ""discomfort"". ",19,0,1,Philosophy
6,6,1,0,0,0,0,0,6,2,5,7,3,3,4,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] I believe the purpose of the experiment was to neurologically evaluate the connection our brain has with other parts of the body, specifically in regard to motivational motor control. I think that with the relevant technological applications can be created to help those that may have motor impairment. ",19,1,1,Physics
7,7,0,0,0,0,0,0,2,5,5,7,6,6,5,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To alert participants of the comparative difficulties those necessitating this and other accomodations experience on a day-to-day basis and also to observe perhaps how quickly someone can adapt to necessary adaptations when pressed to do so.,19,0,1,Biology & Journalism
8,8,1,0,0,0,0,0,5,1,5,4,4,5,8,1,0,"[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To study the physical and emotional reactions one might have to being forced to write with their mouths. Also, to study the difficulty one might feel in apprehending this method. ",18,1,1,Theatre
9,9,0,1,1,1,0,3,8,5,7,7,4,5,7,1,0,"Look at how strength of different body parts are built up over time, use of uncommon body parts for common tasks",18,0,1,Undecided
10,10,1,0,0,0,0,0,8,4,7,5,4,5,4,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] To highlight how difficult it can be for disabled people to use objects/do activities that many people consider easy.,21,0,1,Anthropology
11,11,0,0,0,0,0,0,6,3,3,5,4,2,6,1,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] Address social/psychological implications of disabled/paralyzed individuals and their ability/style of communication. ,20,0,1,Biology
12,12,1,1,1,1,1,4,7,5,2,3,3,7,8,1,0,To evaluate how individuals function under this situation and also to evaluate how people perceive themselves and people with disabilities. ,18,1,1,Mathematics/Politics
13,13,0,0,0,0,0,0,3,3,0,2,1,3,9,0,0,[NOTE: TECHNICAL PROBLEMS MEANT WE HAD NO VIDEO TO VERIFY TASK PERFORMANCE FOR THIS SUBJECT.] to try to create better ways of dealing w/disabilities and researching insecurities,20,0,1,Sociology
