subjectNo,participantID,"Condition
1= SMILE 0 = POUT","Task performed correctly? 
 1 = YES   0 = NO",,,,,Ratings,,,,,,Self-reported task performance," Comprehension of cartoons
1 = YES   0 = NO","Was the participant aware of the goal?
1= YES  0 = NO",Transcribe the written answer of each participant's guess  of the study's goal;,Age,"Gender
1 = Male   0 = Female","Student
1 = YES   0 = NO",Occupation / Field of study
,,,Cartoon1,Cartoon2,Cartoon3,Cartoon4,Total,Task1,Task2,Cartoon1,Cartoon2,Cartoon3,Cartoon4,,,,,,,,
1,1,0,1,1,1,1,4,5,7,3,1,1,3,5,1,0,The level in which people obey orders; that's why the experimenter records the way we hold the pen; Another possibility is to study our sense of humour; since the tasks are very ridiculous,18,0,1,Psychology
2,2,1,1,1,1,1,4,6,6,3,7,1,6,7,1,0,To be honest; I don't know what is the purpose of the experiment; ,18,0,1,Psychology
3,3,0,1,1,1,1,4,3,5,3,5,5,3,8,1,0,Psychomotoric coordination,19,0,1,Psychology
4,4,1,1,1,1,1,4,,,0,1,0,0,8,0,0,The goal is to encourage the active use of some parts of the body for people without hands or arms,18,0,1,Psychology
5,5,0,1,1,1,1,4,6,6,5,7,4,8,7,1,0,The aim is to study our concentration level while using different  parts of the body ,18,0,1,Psychology
6,6,1,1,1,1,1,4,7,6,2,0,6,7,7,1,0,Learning how to use a different part of our body to do a task,18,0,1,Psychology
7,7,0,1,1,1,1,4,7,3,1,7,3,6,9,1,0,To assess whether we are able to perform tasks with our mouth; Our ancestors didn't write; so they might have used any other part of the body different from their hands to do things,18,0,1,Psychology
8,8,1,0,0,0,0,0,8,5,0,0,0,4,7,1,0,How people without hands can learn to write; and how difficult is for them,18,0,1,Psychology
9,9,0,1,1,1,1,4,7,5,3,6,2,6,6,1,0,To examine the strategy that people apply to perform a task in a different way than usual; In my case; how to hold a pen moving the head to gain balance,19,1,1,Psychology
10,10,1,1,1,1,1,4,7,4,7,6,2,6,9,1,0,Based on the experiment's instructions; the aim is to know our abilities to perform tasks in a particularly unusual way; It could be related to the way we think or act when doing something that usually is performed differently,19,0,1,Psychology
11,11,0,1,1,1,1,4,5,8,9,7,5,8,4,1,0,The aim is to know how we deal with changes by examining the lines we make with the pen,18,1,1,Psychology
12,12,1,0,0,0,0,0,7,4,6,4,5,7,5,1,0,To check whether some stimuli are funnier when doing tasks with unusual parts of the body; such as writing with the mouth; than when we write with hands,19,1,1,Psychology
13,13,0,1,1,1,1,4,6,7,4,3,2,6,8,1,0,The aim is to evaluate the relationship between the sense of humour and the motor abilities; Another possibility is to evaluate the relationship between obedience (to do some tasks) and the sense of humour ,28,0,1, Social Education 
14,14,1,0,1,1,0,2,8,2,2,7,2,2,5,1,0,To study how affect; at the motor level and at psychological level; perform tasks in a different way than usual,22,1,1,Electronic engineering 
15,15,0,1,1,1,1,4,6,7,6,2,1,3,7,1,0,1)To evaluate how many times I took out the pen of my mouth; 2)To check the direction of my lines in order to know if I'm a positive or a negative person; 3) To see my drawing's precision,21,1,1,Social work
16,16,1,1,1,1,0,3,6,1,7,6,2,0,6,1,0,The aim could be to know our skills in exceptional circumstances; It could be also the capacity that we have to do something in a specific way despite our instinct,18,0,1,Psychology
17,17,0,1,1,1,1,4,3,3,5,6,7,4,7,1,0,To asses our psychomotor ability while doing activities that we usually don't do with some parts of the body,18,1,1,Psychology
18,18,1,1,1,1,1,4,8,2,1,5,6,1,7,1,0,The aim is to know our skills using parts of the body that we do not usually use  ,17,0,1,Psychology
19,19,0,0,0,0,0,0,,,3,6,5,7,6,1,0,To know skills with parts of the body that are not usually used for these skills,18,0,1,Psychology
20,20,1,1,1,1,1,4,5,7,2,1,4,7,5,1,0,The aim is to assess the ability of doing things with other parts of our body,17,0,1,Psychology
21,21,0,1,1,1,1,4,8,4,3,7,1,8,7,1,0,Coordination skills,18,0,1,Psychology
22,22,1,1,1,1,1,4,3,3,0,0,8,0,9,1,0,The aim is to observe the skills that a person who lacks of hands or mobility in them can use; in order to design an appropriate method for them; the mouth in this case;,18,0,1,Psychology
23,23,0,0,0,0,0,0,1,3,0,0,0,3,9,1,0,The aim is to analyze the accuracy of the lines made with other parts of the body different from our hands to invent a useful instrument for our society,18,0,1,Psychology
24,24,1,1,1,1,1,4,6,2,3,1,2,2,4,0,0,The goal is to study the relationship between the sense of humour and our capacity to use different parts of the body and resources to do things,19,0,1,Psychology
25,25,0,1,1,1,1,4,3,6,4,2,4,4,8,1,0,The aim is to check the ability to write with unusual parts of the body to demonstrate that with practice all of us could be capable,19,0,1,Psychology
26,26,1,1,1,1,1,4,4,2,2,5,0,2,7,1,0,The aim is to analyze our ability to perform tasks that we usually do not do ,18,0,1,Psychology
27,27,0,1,1,1,1,4,8,4,3,4,2,2,4,1,0,The aim is to check the capacity we have when holding a pen with the mouth,18,0,1,Psychology
28,28,1,1,1,1,1,4,6,7,6,7,3,4,5,1,0,The aim is to understand how we react when faced with a complex and unusual activity; and how we are progressing over time,17,1,1,Psychology
29,29,0,1,1,1,1,4,2,5,0,4,2,2,7,1,0,The aim is to see how we do a task without paying attention since we are concentrated on holding the pen;,23,1,1,Psychology
30,30,1,1,1,1,1,4,8,5,6,6,3,7,2,1,0,Understanding the development of certain skills in people with disabilities vs people without difficulties,18,0,1,Psychology
31,31,1,1,0,0,0,1,7,9,5,7,4,7,5,1,0,The aim is to see if people can learn how to write with the mouth; then it could be possible to help people that cannot use their hands; ,20,1,1,Psychology
32,32,1,1,1,1,1,4,2,3,4,4,3,5,8,1,0,The aim is to study how to do things with different parts of the body; This can put forward a solution to help disabled people ,18,0,1,Psychology
33,33,1,1,1,1,1,4,5,2,2,7,2,6,5,1,0,The aim is to find out how far we could go by doing a new task such as writing with our mouth; and thereby we could know how it would be the first time ,18,0,1,Psychology
34,34,0,1,1,1,1,4,5,7,3,2,6,5,7,1,0,I guess this experiment has the aim to see if we can adapt ourselves to different situations,18,0,1,Psychology
35,35,0,0,0,0,0,0,5,5,3,2,3,6,6,1,0,The purpose is to make us aware about the things we can do but we do not know; although those things require a greater effort;  The purpose could be to see how our brain responds while doing that kind of tasks; ,18,0,1,Psychology
36,36,1,0,1,1,1,3,6,4,3,4,7,3,7,1,0,When you are getting distracted; you forget that you're holding a pen in your mouth,17,0,1,Psychology
37,37,0,1,1,1,1,4,3,4,2,5,6,7,7,1,0,This is a study about our capacity to carry out common actions with unusual parts of the body;,17,0,1,Psychology
38,38,1,1,1,1,1,4,8,3,7,5,2,8,7,1,0,I think you are trying to assess whether we can perform a task correctly (holding a pen as requested) while we do some distracting tasks,18,0,1,Psychology
39,39,0,1,1,1,1,4,1,3,1,4,3,3,8,1,0,The purpose is to study how we use an object with a different part of the body,18,0,1,Psychology
40,40,1,1,1,1,1,4,7,5,0,1,1,1,7,1,0,The purpose of the experiment is to see if some parts of our body can be sharpened to do additional functions; ,18,0,1,Psychology
41,41,0,0,0,0,0,0,7,6,6,7,3,8,6,1,0,To study the most successful way to perform tasks using unusual body parts,18,0,1,Psychology
42,42,1,1,1,1,1,4,3,1,1,9,4,7,8,1,0,Perhaps the aim is to see how other people can do the tasks we do in a different way,23,0,1,Psychology
43,43,0,1,1,1,1,4,5,6,3,6,7,6,8,1,0,I think it is related to the way our muscles are relaxed based on the pleasant sensations and emotions that we are feeling; Holding a pen is more difficult in funny situations because our muscles are relaxed,18,0,1,Psychology
44,44,1,1,1,1,1,4,5,2,7,1,2,8,9,1,0,Knowing how we act in situations where we have to do something in a different condition than the usual ,18,0,1,Psychology
45,45,0,0,1,1,1,3,6,6,5,7,5,7,7,1,0,The use of parts of our body that we never would use to write,25,1,1,Psychology
46,46,1,1,1,1,1,4,7,2,5,3,4,7,4,1,0,The aim is to discover if we express with our mouth the different emotions that the cartoons can elicit; as it could be in the day to day,18,0,1,Psychology
47,47,0,1,1,1,1,4,2,3,1,4,0,4,8,1,0,To see the relationship between the muscles we use to hold the pen and the reaction of the muscles used to view the vignettes,17,0,1,Psychology
48,48,1,1,1,1,1,4,5,3,1,0,0,4,9,1,0,I guess is to measure our ability to accomplish a task with a different part of the body and if  concentration allows us to react laughing to a cartoons that supposedly are funny ,18,0,1,Psychology
49,49,0,1,1,1,1,4,4,4,6,3,1,1,4,1,0, I guess the aim is to assess our motor capacity in some parts of the body that we do not use to perform certain activities like this; We usually write with our hands instead of writing with our mouth; They want to know if we can do it through different tasks without previous practice;,18,0,1,Psychology
50,50,1,1,1,1,1,4,4,6,6,3,2,0,6,1,0,To know whether we lose the pen while laughing and if we are able to use parts of the body to perform certain new functions,18,1,1,Psychology
51,51,0,1,1,1,1,4,6,6,0,2,0,3,1,1,0,To observe the effort made by the muscles involved in holding a pen with the mouth,18,0,1,Psychology
52,52,1,1,1,1,1,4,8,8,1,3,4,5,7,1,0,It could be to see how to use the area of the teeth or lips to make unusual tasks and the effort needed to keep that position for a while,18,0,1,Psychology
53,53,0,1,1,1,1,4,9,9,8,3,6,8,6,1,0,I think the purpose is to know the skill or difficulty that we could have to maintain a proper posture with the pen while we do other easy thing such as underlining letters  or understanding cartoons,20,0,1,Psychology
54,54,1,1,1,1,1,4,7,6,7,8,8,6,8,1,0,This experiment aims to link learning (also cultural learning); memory; and genetic with psychomotor skills; that is; why certain parts of the body are used to write instead of others; ,19,1,1,Psychology
55,55,0,1,1,1,1,4,3,4,7,8,6,4,7,1,0,To know if writing with the mouth can be useful for people without arms,18,0,1,Psychology
56,56,1,1,1,1,1,4,6,4,0,6,2,0,7,1,0,The aim is to check if we are paying attention to the pictures or we are thinking about removing the pen from the mouth,18,0,1,Psychology
57,57,0,1,1,1,1,4,1,1,3,4,3,4,4,1,0,Cognitive abilities ,20,0,1,Psychology
58,58,1,1,1,1,1,4,5,6,3,5,1,2,8,1,0,The aim is to investigate the psychomotoric coordination of each person,18,0,1,Psychology
59,59,0,1,1,1,1,4,6,6,4,5,3,5,8,1,0,The aim is to know whether we can perform tasks with parts of the body that we do not usually use  ,18,0,1,Psychology
60,60,1,1,1,1,1,4,3,4,2,3,6,0,9,0,0,They want to investigate how people can learn to use parts of their body for a different function,17,1,1,Psychology
61,61,0,1,1,1,1,4,3,5,1,4,3,2,4,0,0,The aim is to study people's ability to perform some tasks while holding a pen with the mouth,21,1,1,Psychology
62,62,1,1,1,1,1,4,1,1,3,6,2,2,6,1,0,I guess the experiment is about the attention we pay when writing with a pen in the mouth; and therefore our agility;,18,0,1,Psychology
63,63,0,1,1,1,1,4,5,7,7,8,9,5,7,1,, ,21,0,1,Psychology
64,64,1,1,1,1,1,4,7,5,3,5,5,7,6,1,0,The aim is to observe if some body parts can be used for different aims than the usual ones,18,0,1,Psychology
65,65,0,1,1,1,1,4,3,1,4,3,4,4,8,1,0,Our capacity to do a couple of things at once; While we have to focus on holding the pen; we have to avoid laughing if we do not want to lose the pen and we need to understand the vignettes; ,18,0,1,Psychology
66,66,1,1,1,1,1,4,6,5,5,5,4,2,9,1,0,I think is to measure our concentration capacity and some skills that we do not have developed;  Holding a pen with our teeth without touching it with the lips is not common for us;  Besides this; our mind forgets that we cannot touch the pen with the lips while doing activities that requiere attention ,18,0,1,Psychology
67,67,0,1,1,1,1,4,6,1,1,9,5,0,8,1,0,Human body coordination,18,0,1,Psychology
68,68,1,1,1,1,1,4,3,2,2,5,0,1,8,1,0,The aim is to check if being in a funny situation (writing with a pen in the mouth) makes us perceive some things as funnier ( i;e; the  vignettes),17,0,1,Psychology
69,69,0,1,1,1,1,4,5,7,3,7,2,7,3,1,0,Probably you want to study the relationship between writing and the body parts that would be useful for that; This could be useful for people with disabilities; ,18,0,1,Psychology
70,70,1,1,1,1,1,4,5,2,1,4,2,7,7,1,0,The aim is to check if our motor skills are related to the sense of humour ,17,1,1,Psychology
71,71,0,1,1,1,1,4,4,1,0,8,5,7,9,1,0,The purpose may be to know the differences between the gestures people can make when they are concentrated; laughing; etc;  ,18,0,1,Psychology
72,72,1,1,1,1,1,4,8,6,0,0,0,2,6,1,0,The aim is to determine our concentration and coordination,18,0,1,Psychology
73,73,0,1,1,1,1,4,6,7,2,3,3,3,7,1,0,The aim is to make products easier to use by people with disabilities,18,0,1,Psychology
74,74,1,1,1,1,1,4,7,8,4,3,4,3,6,0,0,I think the purpose is to know whether we can have the same concentration looking at the cartoons with and without anything in the mouth; or maybe if we can focus on the cartoons being worried about our saliva,32,1,1,Psychology
75,75,0,1,1,1,1,4,8,7,1,6,4,4,9,1,0,I think the purpose of the experiment is to provide solutions to people who can not use their hands to write or underline letters; To do this; they are working with people who do not need to make an extra effort to perform the task; They want to get a position with the mouth really useful for people with disabilities;,19,0,1,Psychology
76,76,1,1,1,1,1,4,9,3,2,3,3,5,3,1,0,The aim is to check how a task performance can be affected if we do it in the usual way or in a different way,18,0,1,Psychology
77,77,0,1,1,1,1,4,3,7,1,2,1,3,7,1,0,It could be to know our capacity to reuse parts of our body (the lips in this case) to perform tasks that are not usually performed with them;,18,1,1,Psychology
78,78,1,1,1,1,1,4,5,4,4,3,5,4,7,0,0,Knowing if people care more about answering questions than for holding the pen correctly,18,0,1,Psychology
79,79,0,1,1,1,1,4,3,6,7,8,4,9,7,1,0,Maybe it is to check the involuntary response of our facial muscles when something makes us laugh avoiding that we can hold the pen,26,1,1,Psychology
80,80,1,1,,1,1,3,5,1,3,,1,2,8,1,0,You want to see how our motor ability varies outside our comfort zone; and also how we react to hilarious stimuli,17,1,1,Psychology
81,81,1,1,1,1,1,4,4,2,0,1,0,2,8,1,0,I believe they want to develop a way in which disabled people can interact in a correct way with objects like a chair and they do not depend so much on someone else,19,1,1,Psychology
82,82,1,1,1,1,1,4,3,1,6,4,1,4,8,1,0,The purpose is to find out the most optimal way to hold a pen with the mouth in order to perform some written activities for people with psychomotor problems; Also; it could be to see what way affects our concentration in other activities,22,0,1,Psychology
