Subject no.,participantID,"Condition
1= SMILE 0 = POUT","Task performed correctly? 
 1 = YES   0 = NO",,,,,Ratings,,,,,,Self-reported task performance," Comprehension of cartoons
1 = YES   0 = NO","Was the participant aware of the goal?
1= YES  0 = NO",Transcribe the written answer of each participant's guess  of the study's goal.,Age,"Gender
1 = Male   0 = Female","Student
1 = YES   0 = NO",Occupation / Field of study, 
,,,Cartoon1,Cartoon2,Cartoon3,Cartoon4,Total,Task1,Task2,Cartoon1,Cartoon2,Cartoon3,Cartoon4,,,,,,,,,
1,1,0,1,1,1,1,4,7,6,3,3,3,7,8,1,0,To investigate the options of performing tasks without using your hands but by using  a pen in your mouth. To develop a writing technique for people who are not able to use their hands.,24,1,1,Urban and Regional Planning,
2,2,1,1,1,1,1,4,2,2,7,5,5,7,9,1,0,To investigate the coordination between hand and eyes of an average person,27,0,0,Commercial Host,
3,3,0,1,1,1,1,4,6,5,5,7,6,4,3,1,0,How well you can use your mouth to write without using your teeth. To understand disabled people.,25,1,0,-,
4,4,1,1,1,1,0,3,4,5,6,3,3,7,5,1,0,Research on motor skills; the importance of using all body parts.,26,0,0,Social Worker,
5,5,0,1,1,1,1,4,8,7,7,8,6,8,3,1,0,I think the goal is to better understand the coordination between your head and your mouth and the task that your brains assign. With this statements can be done about how suitable the mouth is as an alternate body part for certain tasks.,20,1,1,Planology,
6,6,1,0,0,0,0,0,4,2,7,8,2,4,8,1,0,Seeing how people can do things that don't normally happen with certain body parts,58,1,0,Travel Agency Employee,
7,7,0,1,1,1,1,4,4,4,2,3,2,1,6,0,0,Whether a person with a handicap will look differently at a certain kind of humor.,20,0,1,Econometrics,
8,8,1,1,1,1,1,4,5,6,6,7,5,7,6,1,0,Seeing if when one smiles they were still able to hold the pen correctly/control it.,19,1,1,Beta-Gamma,
9,9,0,1,1,1,1,4,5,8,6,5,3,8,3,1,0,To study the motor skills and based on that to possibly develop new products that are used with the mouth.,22,1,1,Econometrics,
10,10,1,1,1,1,1,4,6,5,6,6,6,7,4,1,0,See whether one can quickly learn an action with a body part that is not trained for it.,49,1,0,Estate Agency,
11,11,0,1,1,1,1,4,6,2,7,1,1,5,5,1,0,The goal of this study is to see to what extend people are willing to accomplish a task that goes beyond their normal capacity.,24,0,1,History,
12,12,1,1,1,1,1,4,5,1,2,4,5,7,6,1,0,To investigate to what extend mental and physical abilities are aligned. You focus on your lips not touching the pen but your brain also has to think about what is exactly the goal of the next task.,26,0,0,Pharmacy Assistant,
13,13,0,1,1,1,1,4,2,3,1,3,5,5,7,1,0,Investigate whether an odd action changes your general level of humor.,23,1,1,Econometrics,
14,14,1,1,1,1,1,4,7,3,2,6,8,4,4,1,0,"To investigate whether when you find something funny, it becomes easier to perform an awkward/tedious action when ",27,0,1,Accountancy & Control,
15,15,0,1,1,1,1,4,4,6,2,3,2,2,3,0,0,To investigate the possibilities for people with a disability; whether or not they need to concentrate all the time,24,0,1,Pre master Business Administration,
16,16,1,1,1,1,1,4,7,7,1,7,7,6,6,0,0,New technologies for physically disabled persons,53,0,0,Tourist Guide,
17,17,0,0,0,0,0,0,7,8,7,8,5,5,3,1,0,It's about the coordination of your body parts and what you want to achieve with it in order to  do every day things,23,0,0,Working,
18,18,1,1,0,0,1,2,7,3,0,1,4,0,7,1,0,"Investigate to what extend one can perform several tasks simultaneously. In this case, holding a pen with one's mouth and reading/understanding cartoons.",23,0,1,Communication,
19,19,0,1,1,1,1,4,6,7,7,8,6,7,2,1,0,"Investigate how well people can handle new means to perform a task when they are not able to carry out certain actions. For example, when you don't have your arms anymore.",21,0,1,Social Geography and Urban Planning,
20,20,1,1,1,1,0,3,6,1,7,8,7,6,8,1,0,Investigate whether it is possible to write with a machine that can be operated with only teeth (sometimes you see people with a physical disability whose lips do not work properly or hang down).,21,0,1,Social Science,
