subjectNo,participantID,"Condition
1= SMILE 0 = POUT","Task performed correctly? 
 1 = YES   0 = NO",,,,,Ratings,,,,,,Self-reported task performance," Comprehension of cartoons
1 = YES   0 = NO","Was the participant aware of the goal?
1= YES  0 = NO",Transcribe the written answer of each participant's guess  of the study's goal.,Age,"Gender
1 = Male   0 = Female","Student
1 = YES   0 = NO",Occupation / Field of study
,,,Cartoon1,Cartoon2,Cartoon3,Cartoon4,Total,Task1,Task2,Cartoon1,Cartoon2,Cartoon3,Cartoon4,,,,,,,,
1,101,0,0,0,0,0,0,6,6,5,6,7,8,6,1,0,"Engelli insanlar?n günlük hayattta monoton i?leri engeli olan bölge d???nda farkl? bir bölgesiyle masraf olarak nas?l daha, ucuz ve kaliteli bir destek alarak kullanabilir.",19,0,1,Sa?l?k Yönetimi / Psikoloji 
2,102,1,1,1,1,1,4,8,3,0,0,0,0,6,0,0,Eli olmayan insanlarla eli olan insanlar?n a?z?yla kalem tutma ve bir?eyler yaz?p çizme konusundaki yeteneklerinin kar??la?t?r?lmas? amac?yla yap?lm?? olabilir.,20,0,1,Psikoloji
3,103,0,1,1,1,1,4,3,5,3,6,7,5,5,1,0,Deneyde organlar?m?z?n normal s?radan kulland???m?z i?levleri d???nda kulland???m?zdaki ba?ar?s? ölçülebilir. Organlar?n birbiri yerinde de kullan?labilece?in ?spalanabilir.,21,1,1,Psikoloji ing
4,104,1,0,1,1,1,3,7,7,5,7,5,8,9,1,0,"Ellerini kullanamayan bireylerde, kalemi a??zda tutarak yazmak geli?tirilip, elle yazmak kadar h?zland?rabilir mi?",19,0,1,Psikoloji
5,105,0,0,0,0,0,0,5,3,0,3,3,4,7,0,0,Bu deneyin amac? elleri ya da di?leri olmayan hastalar?n hayatlar?n? kolayla?t?rmak amac?yla yap?lan aletlerle ya?am kalitesini art?rmak.,20,0,1,Psikoloji
6,106,1,1,1,1,1,4,6,2,5,7,4,7,2,1,0,Psikomotor gücü,19,0,1,Psikoloji
7,107,0,1,1,1,1,4,7,7,1,2,3,5,3,1,0,Psikomotor görevlerin baz? pozisyonlarda ne kadar --- ba?arabilece?i,23,0,1,Psikoloji
8,108,1,1,1,0,1,3,7,2,4,7,8,7,7,1,0,Bence bu deneyin amac? vücudumuzda kulland???m?z organ?m?z?n olmad???n? varsayarak nas?l ve ne ?ekilde yazaca??m?z ölçüldü. Bir de mizah anlay???m?z?n ölçüldü?ünü dü?ünüyorum ince ironilerle.,20,0,1,Ö?renci
9,109,0,0,0,0,0,0,5,6,2,3,3,6,4,0,0,Birçok i?i birarada yapabilme becerisi. Kalem a?z?mdayken rahat dü?ünemedim. Karikatürlerin anla??lmas? zordu.,18,0,1,Psikoloji
